ref,outcome,k=15,k=14,k=13,k=12,k=11,k=10,k=9,k=8,k=7,k=6,k=5,k=4,k=3,k=2,k=1
AM38.2,3,84.9476128187,84.7928058584,84.6831510255,84.5577262954,84.4195904952,84.2598973454,84.0672734533,83.8298160847,83.5364377085,83.1577408804,83.156443948,83.1555122619,83.1541811174,83.1541811174,83.1541811174
AM38.3,3,61.8332809054,61.8258749216,61.8178114503,61.8087105768,61.7982847808,61.793482278,61.7880395291,61.7812483907,61.7752927592,61.7716750029,61.7669024033,61.7635714714,61.7592720467,61.7515666677,61.7438864365
AM38.4,3,129.8514757798,129.7234045704,129.575648446,129.4032925088,129.1996128944,128.9551988958,128.656473277,128.2830684148,127.8029769584,127.1628730905,126.2667296705,124.9225227635,122.6822124795,118.2016120303,108.8840430247
AM38.5,3,58.5162959097,58.515338072,58.5142536041,58.5141007754,58.5140241467,58.513955783,58.5138924435,58.5138269653,58.5137727941,58.5137343656,58.513692862,58.513661246,58.5136111204,58.5135826167,58.5135785211
AM38.6,3,40.7974241392,40.5805191053,40.3336097334,40.0465116027,39.7096434182,39.3054092768,38.8121085921,38.1957129964,37.4038995053,36.3493473831,34.8735338365,32.6604916435,28.9727804559,25.8393408985,24.9985886486
AM38.7,3,83.5656697546,83.5602337481,83.5543169348,83.5476293303,83.5399771441,83.536518056,83.5326033371,83.5277187133,83.5234786631,83.5208304189,83.517222359,83.5147653272,83.5116066389,83.505938566,83.5002250429
AM38.8,4,75.2782306747,74.7479919404,74.5216659662,74.2591494353,73.9496346838,73.5785873724,73.1251972075,72.5592014079,71.8320646706,70.8631692516,69.5069711241,67.4727735742,67.4725707911,67.472524962,67.4724535952
AM38.9,4,17.0981921926,14.8252219618,12.2028252979,9.1434766266,5.5279168563,1.1893041114,1.1569805283,1.1423823243,1.124594328,1.1166850978,1.1122275643,1.1073787821,1.1001927803,1.0908478822,1.0634140915
AM38.10,4,204.269992808,202.6518700506,200.8012571981,198.6467848409,196.1086773637,193.0648398,189.3473931004,184.7023981058,178.7336485395,170.775386209,159.6881802778,143.059291206,115.3444760865,114.5642931895,114.5571874976
AM38.11,4,212.5645608254,211.8063807814,210.9475110395,209.9501679757,208.7804132734,207.3775349484,205.6656097431,203.5277235444,200.7822382444,197.1216950851,192.0542484441,184.4549549457,171.7894657816,171.2636604512,171.2589705815
AM38.12,4,52.7041693291,52.6951205698,52.6850926826,52.673453638,52.6603115692,52.6539428994,52.6466562459,52.6423071194,52.6377221426,52.6330008703,52.6277320574,52.6230489266,52.6164728369,52.6134409502,52.6059433997
mw37.1,2,59.2689077049,59.0760838268,58.8540064712,58.5950020326,58.2899887515,57.9246321888,57.478379692,56.9213110224,56.2054094897,55.2510538316,53.9150010715,51.917222481,50.4728573899,50.0383502781,49.6459894464
mw37.2,4,64.3339600251,63.9019005497,63.4033736422,62.8217635825,62.1344363664,61.3096478033,60.301573353,59.041480514,57.4213614343,56.7244449684,55.7490962066,54.2866843706,51.8939807017,47.1115631847,32.764982297
mw37.3,2,77.3429417263,77.3282320497,77.3124047751,77.2939984015,77.272272991,77.2462300313,77.2144043205,77.1746273182,77.1235073581,77.0553478981,76.9599391931,76.8168400879,76.5783647289,76.1014802913,74.6709142731
mw37.4,2,170.8760850335,169.0889203615,167.0515967129,164.6747191228,161.8667581128,159.3889307587,157.3198364849,154.9207576045,151.9143228667,147.9110693844,144.541202794,142.1665746221,138.7968016953,132.1167543086,116.9824614399
mw37.5,3,130.6974523358,130.4779756157,130.2271388318,129.9742740111,129.7529917738,129.509237195,129.2389678498,128.9131457274,128.4947340491,128.1556063031,127.682659463,126.9789464975,125.8092502278,123.5728359891,116.8671809303
mw37.6,2,87.2627814255,87.2623586992,87.261908717,87.2615243622,87.2611260252,87.2606568519,87.2600840575,87.2596433539,87.2591697232,87.2586933363,87.2583883424,87.2580295502,87.2574473833,87.2571367032,87.2568462423
mw37.7,4,71.6484088976,71.6479594173,71.647477862,71.6469230991,71.6464773911,71.6462166088,71.6459443946,71.6456074624,71.6452183071,71.6447961271,71.6443180099,71.6436636523,71.6428298783,71.6412518068,71.6412366259
mw37.12,3,162.8212319682,160.7516428933,158.3636569278,155.5776741764,152.2851494405,149.8870840921,146.9598851126,144.9789563495,143.2279833672,141.272435462,139.2742838085,136.7227331786,132.5134358323,129.5523914471,127.8812558797
AM40.1,3,102.0880881533,98.3973268545,94.1387892179,89.2387120608,83.4477337505,77.823750036,70.9510508734,65.2518583165,57.9244563972,52.2220086072,44.2408505662,38.7076161486,29.4877027707,28.3000605759,24.7687199445
AM40.2,3,78.0736747279,76.2977181602,74.3980813262,72.1824544694,69.6868777859,68.1396373546,66.3519993653,64.1174833937,61.2941107875,57.6057011319,52.4491502506,44.7169950772,31.8443929216,31.8408702838,31.8311812644
AM40.3,4,58.0069504647,57.7087846488,57.3728319396,56.9811832251,56.5221801377,55.971614659,55.2996565724,54.4611045153,53.3830775822,51.9457814286,49.9336022788,46.9176169129,41.8959099106,31.8596930712,31.8443959701
AM40.4,4,82.9999790713,80.2699089211,78.5803760223,76.609533265,74.9521153634,72.9632541592,70.5325224199,67.4943124082,63.5880619552,58.3809109859,54.923974385,49.7406535115,43.7800809458,31.8644598502,31.8577791941
AM40.5,3,101.1209771123,98.0059639766,95.7487033805,93.1157362651,91.4868155338,89.5325045599,87.4323189436,86.7424421706,85.8555182354,84.673108568,83.0180861763,80.5355861137,76.4005614475,72.3794809296,60.3239186652
AM40.6,3,226.7988870666,218.9383119562,209.8685716251,202.244325552,193.2340594617,187.0900072228,179.5807189478,170.1993145493,158.1375367428,142.0567337049,119.5436504905,85.7742011063,29.4918767421,28.3111323225,24.7922424657
AM40.7,4,85.9434533101,84.2525707738,82.3022851777,80.3365007306,78.0141335341,75.5895435385,72.7286601561,69.1860912822,64.6327955018,58.7772148157,50.5821426128,47.4369065709,42.2034463872,39.6213464965,31.8767143934
