ref,outcome,k=15,k=14,k=13,k=12,k=11,k=10,k=9,k=8,k=7,k=6,k=5,k=4,k=3,k=2,k=1
mw44.3,4,91.1575224592,91.1553177403,91.1528536624,91.1500093096,91.1467089281,91.1427923617,91.1380701097,91.132189515,91.1246420816,91.114705582,91.1008888403,91.0983154738,91.0968867323,91.0952586579,91.0921558041
mw44.4,4,72.5454077461,72.5447820941,72.5444378748,72.5441532284,72.5438358939,72.5435327903,72.5432670957,72.5430190208,72.5427142379,72.5424064847,72.5419922462,72.541409482,72.5406001782,72.540440455,72.5403543936
mw44.5,4,49.0889883701,48.3541731778,48.2223600478,48.1608841686,48.0883806889,48.0014887612,48.0004460713,48.0002679186,48.0001875557,48.0001651375,48.0001442115,48.000132339,48.000113758,48.000084784,48.0000396013
mw44.6,4,171.7124863566,169.5711664031,167.1210181227,164.2633249524,160.8860512057,158.6190149821,155.8589831926,152.4130551741,149.2214967042,145.2193660314,142.0146528865,139.4372491218,135.1862934467,127.6355868174,111.9778906611
mw44.7,4,216.4489096044,215.6001703145,214.6392684339,213.5227060879,212.2093232109,210.6380339539,208.720687464,206.3253669963,203.2495397354,199.1484581041,193.4557302657,184.918745944,170.6904387411,170.3883609453,169.4918397028
mw44.8,4,162.0405903978,159.8884255487,157.4051651573,154.5082849495,151.0847114915,147.8201295917,143.8337301943,141.9090261976,140.2458544111,138.4200917754,136.2060924481,132.9192561454,128.0873126974,125.0247198546,123.2971947595
mw44.9,4,71.2765404362,71.2696469974,71.2618807709,71.2528421454,71.2424570323,71.2372798188,71.2321346173,71.2261466512,71.2224821294,71.2193510949,71.215665937,71.2126734015,71.2082045569,71.2071003089,71.2068574774
mw44.10,4,47.603671834,47.306377103,46.9634284436,46.5633430404,46.0905840315,45.5233467231,44.830073928,43.9635919405,42.8500088554,41.3652617067,39.286692064,36.1704057825,36.166302229,36.1597974093,36.1529203581
mw44.11,4,67.4959163025,66.7403223175,65.8685773853,64.8593949273,63.6671752061,62.236549394,62.1803013204,62.1103300021,62.0203957296,61.9004862054,61.7326581922,61.4810074517,61.0622081838,60.2250660038,58.1088997656
mw44.12,4,77.6977588066,77.6383849895,77.5698784854,77.4899564163,77.3955033643,77.2821604017,77.1436326509,76.9704732993,76.7478538863,76.451048435,76.0544759174,75.4609656317,74.4721728667,72.4978704285,66.5752744611
mw44.13,3,131.1856312202,130.638715207,130.0079272363,129.524428248,128.9530203527,128.2675487905,127.4297502145,127.1839606361,126.8680204687,126.44721892,125.8582270301,124.9815359031,123.5208408085,120.5998585794,111.8411724197
mw44.14,4,96.5282428084,96.3105425803,96.059448817,95.7665851221,95.4205068694,95.0052253689,94.497721568,93.8633555184,93.0477529956,91.9605384005,90.4384471926,88.1555956635,88.1542814962,88.1526457376,88.1518747293
mw44.15,3,82.5968903894,82.3362170777,82.0354607342,81.6846077606,81.2699742257,80.7724141833,80.1643808679,79.4044592208,78.4277595568,77.156829519,75.3790676908,72.7127249731,72.7103839098,72.707160846,72.7067867864
mw47.1,2,54.8806679267,54.5549494658,54.1875703295,53.7959589842,53.3333812072,52.7826067217,52.1584025605,51.387278678,50.4157283076,49.3507443978,48.0391164972,46.3548137201,43.5711680476,38.0386289258,36.9207835736
mw47.2,4,57.3239382886,56.7998596953,56.1970925278,55.4957475437,54.6716108145,53.6882978968,52.4885446207,50.9963515696,49.082770678,46.5502842546,43.0048032618,37.7996277237,29.1340176628,25.0214585295,24.9843045156
mw47.3,2,82.8908516549,82.5582210168,82.1765381126,81.73870816,81.2580154222,80.6820786781,79.9796811662,79.1535714908,78.0939630642,76.712780874,74.9166858051,72.3558994711,68.4051372767,60.5556404935,37.0711405742
mw47.4,2,118.9420440542,114.7124453098,109.8321390663,104.1392346783,98.2900996577,94.7816960594,91.6796662283,88.190779304,83.7113331593,80.3466443032,76.3873023022,70.4542233247,61.7223648212,53.5682470144,36.9116624051
mw47.5,4,127.2906112433,124.8849344501,122.1254737102,118.9208152824,115.1356413184,110.5934325617,107.3993127631,103.6726177926,99.7595557376,94.5461388952,89.0988712648,84.7305753938,78.6355739007,66.4527244508,36.4527878617
mw47.6,2,66.1392911024,65.7328115061,65.2639362844,64.7176006356,64.0723551806,63.2984834947,62.3528209669,61.1741598484,59.6698751955,58.3578749908,56.5456084218,55.3340154994,53.4034315794,52.733893465,50.9392705108
mw47.7,4,164.9621591101,162.4974074831,159.6753773595,156.3903925397,152.5683793554,147.997678508,142.5469147072,135.7334599561,126.9769268044,115.3211305532,99.0088173579,74.5757218124,33.9058355621,29.7619087502,29.7162261448
mw47.8,2,57.427070198,57.3126354631,57.1808304218,57.0276251991,56.8509715719,56.6393589976,56.3810782395,56.0654283328,55.6667455002,55.1354413387,54.4184333062,53.3432739632,51.5513417249,47.9765923932,37.2703757719
mw47.9,3,54.3324000179,53.7625572907,53.1076363326,52.3499631629,51.4549118835,50.3925369471,49.110749428,47.508515029,45.4484993733,43.7299469173,41.40632319,38.9444165505,37.4096813455,34.5367095912,26.3028160452
mw47.10,3,83.8621653445,83.5824858428,83.2602214582,82.8864635892,82.4480295472,81.9219086968,81.2820331303,80.485592814,79.4696226302,78.1254640081,76.3363807588,73.7041475926,69.3238822709,60.6420043397,36.1054288677
mw47.11,3,78.5864508397,78.0494844061,77.4320731306,76.7603287141,75.9671963616,75.0479051488,73.9574025003,72.6601960161,70.995396961,68.9749558664,66.1831803594,62.0262744955,58.9296470398,53.4260993018,39.0584492726
AM48.1,3,87.8789756208,86.1972105111,84.6677166402,83.0973643253,81.2516319769,79.9902246417,78.5161802226,77.1025405389,75.288426324,72.8891920761,69.5322198393,64.9437594853,58.7390880943,46.3304117861,37.1831436908
AM48.2,4,48.6105410102,48.3806371363,48.1332483201,47.8449905277,47.5381091888,47.176165083,46.7527644164,46.2290305053,45.5779641369,44.7920707534,43.7696076231,42.5149332924,40.4278277815,37.8278178327,36.2631180873
AM48.3,3,65.1427952336,64.3831152521,63.5072709457,62.4859278757,61.2867452603,59.8502272757,58.0986109625,55.9164963338,53.1165778608,49.4060099377,44.2112148453,37.3287098556,30.0127345076,26.2083016317,25.5519064629
AM48.4,3,121.2315120372,118.891589209,116.3747477641,113.4747076242,110.4069512529,106.7721721357,102.5732913701,97.3262690744,91.7022232355,85.5628962282,78.2863823565,69.7893749877,64.7293315849,57.7153230197,37.4066266369
AM48.5,4,47.0721143271,46.9510936009,46.8115671391,46.648891792,46.4571672482,46.2271176016,45.9475145262,45.5987725807,45.1514140066,44.5558738065,43.7221599577,42.4736567511,40.3930514639,36.2389595043,36.2328883185
AM48.6,3,71.9968869478,71.6125289278,71.1757745894,70.6670048932,70.0660216622,69.3457442452,68.4657593811,67.3698855549,65.9673568207,64.0973384512,61.4796466477,57.5555067233,51.0315905929,43.6564117158,37.498783338
AM48.7,3,47.0450330918,46.9239588496,46.7843412238,46.6216368725,46.4293704361,46.1989977934,45.9176450391,45.5661873389,45.114523428,44.5126010092,43.6707882154,42.4081071846,40.3123194515,36.1220134555,36.1214236432
AM48.8,3,110.8840873504,109.481313278,107.867235572,105.9925944083,103.8055129178,101.2201753653,98.1321496278,94.2832041897,89.3472029888,83.7996311051,78.0602463221,71.9864659365,63.5268112218,52.7731331081,38.7133905752
AM48.9,3,110.2361344969,108.8132628745,107.1755915202,105.2709443747,103.0704305283,100.4713038919,97.3441027314,93.438517686,88.4209477181,82.8162337696,77.0447802452,70.8684233643,62.3795030635,51.3928009224,36.8422782538
AM48.10,3,148.110161931,147.8207171682,147.5102650356,147.156879002,146.8010535916,146.3944808604,145.9692263411,145.5125158012,144.9253165357,144.1470351679,143.0744904664,141.4775195969,138.8510483887,137.83867626,137.8349864801
AM48.11,4,103.3473140372,100.9028892403,98.102491171,94.8368314974,90.9774155195,86.7572208812,81.607176052,75.5891852934,68.4724039328,60.2367618989,49.4111031111,38.2984592012,28.1498855841,24.1386208777,24.0934358133
AM50.1,3,81.3590971067,81.3582776225,81.3573503459,81.3572672614,81.3571771415,81.3571451903,81.3571130379,81.3570798543,81.3570528598,81.357017623,81.3569756185,81.3569258991,81.3568799928,81.3568299219,81.3568106165
AM50.2,3,154.7803006546,153.7526772059,152.5669578421,151.1837304506,149.5490071698,147.7577398151,145.572187558,143.10080231,140.5203906816,138.5882985105,136.2399982841,132.7494731652,127.937516684,124.1476938091,117.0585113055
AM50.3,4,77.9627111026,77.9566469729,77.9499002891,77.9422908963,77.9335427953,77.9291487022,77.9241152259,77.9210402879,77.9192868599,77.9173202417,77.9146719798,77.9109706474,77.9097016099,77.9075483856,77.9017101213
AM50.5,3,52.6805058451,52.6717477075,52.6621008405,52.6509598426,52.6384148586,52.6329834571,52.6268389057,52.6191742312,52.6124107962,52.606319946,52.6006438382,52.5970185489,52.5920558097,52.5837810883,52.5758873765
AM50.6,3,95.8572718164,95.7571127805,95.6415606275,95.5067634134,95.3474682727,95.1563214357,94.9227113355,94.6307001909,94.2585853507,93.7650893415,93.0743742469,92.0395851693,90.3153327116,90.3151490115,90.3148789409
AM50.7,3,72.9681518086,72.9453447948,72.9192014861,72.8888454147,72.8530820489,72.8102216625,72.7578721046,72.6924495441,72.6083412356,72.4961981127,72.3392543411,72.1038586554,72.0134782242,71.9020008087,71.6088335417
AM51.1,3,204.0946777123,202.482763703,200.6300482489,198.4731176545,195.9305256026,192.8804515995,189.1531779106,184.4948222026,178.5059427979,170.5363697058,159.4356998681,142.7945905704,115.0594084074,114.2603099914,114.2497739923
AM51.2,3,154.6544340791,153.6173009913,152.4206089669,151.0246859623,149.374958775,147.5862175148,145.4032196312,142.9300756653,140.3238614225,138.3879793833,136.0415854882,132.5527254923,127.7348592963,123.9373039644,116.8328183477
AM51.3,2,154.714449025,153.6760501165,152.4778975297,151.0810083741,149.430139372,147.6412483951,145.4584866932,142.9872310186,140.3802969299,138.4469980768,136.0990008758,132.6069698062,127.7909102105,123.9975885875,116.9029640528
AM51.4,3,170.7934209916,169.0048571077,166.9619354227,164.5827430468,161.7709702388,159.2828475732,157.2124874522,154.8113023754,151.8073850589,147.807777808,144.4367305028,142.0598776749,138.6829867033,131.9927961799,116.8481232692
AM51.5,3,151.2867935999,150.2236960639,148.9984433114,147.569064933,145.9130615326,143.9316886999,141.5100107933,139.763926276,137.518960468,134.5258039232,130.3353847605,124.4515377029,115.2713400835,114.4646900374,114.381397585
mw49.3,4,151.3776037016,150.3146179785,149.0906526245,147.6627321986,146.0082438074,144.0239272831,141.5986515312,139.8635955403,137.6328092663,134.6597786339,130.4975357485,124.6216874066,115.4564209445,114.6522999304,114.5641225373
mw49.4,2,74.8028117682,74.4726299874,74.0921227668,73.6483977748,73.1240867074,72.4951052555,71.7266432222,70.7665001127,69.5342374483,68.6126488484,68.0577210597,67.3704306833,66.8688008216,65.9755729337,65.8953902353
mw49.5,2,69.5196129683,69.3265465697,69.1042729526,68.845262699,68.5392116967,68.172664196,67.7250682227,67.1656992202,66.4466483128,65.487957412,64.1465370843,62.1396249288,60.3914953405,58.9528216236,55.2984689229
mw49.6,2,80.5872976985,80.0678569662,79.4686754624,79.3660124727,79.2454671775,79.1016906303,78.9269947711,78.7094780129,78.4298759852,78.0571091649,77.5356381034,76.7549399023,75.4572732973,74.9904382466,73.6151922582
mw51.1,3,133.3693202972,133.0855709852,132.7581729464,132.3762104604,131.9248032067,131.3831206844,130.7210656351,129.8935019563,128.8294977323,127.4108335343,125.4247161347,122.4455434265,117.9968355124,109.2163721923,101.7270579038
mw51.4,2,46.923478599,46.9219402074,46.9201955703,46.9200480354,46.9198952571,46.9198299117,46.9197838573,46.9197439887,46.9196936083,46.9196393368,46.9195688233,46.9194892026,46.9194070137,46.9193019352,46.9192544298
mw51.5,2,58.5766290859,58.5764530961,58.5762754741,58.5761123138,58.576006952,58.5758856601,58.5757545617,58.5756505193,58.5755632334,58.5754620703,58.5753777136,58.5752551894,58.5751715866,58.5750053135,58.5745890605
mw52.1,4,72.6501420609,72.6493169579,72.6486319493,72.6480993351,72.64747279,72.646758169,72.6458918357,72.6449235302,72.6437362164,72.6424256565,72.6413366722,72.6401848578,72.6384806307,72.6376521298,72.6373775459
mw52.7,4,153.5153043323,152.5759983819,151.4948015217,150.2334237783,148.7745054655,147.0260906162,144.8891391338,143.1639230504,140.945788086,137.9896326915,133.8510151393,128.0114011505,118.893521405,117.7128672461,117.6267494418
mw52.8,2,78.3551307982,77.8412623723,77.2486850459,76.5577963862,75.7416847391,74.7623624913,73.5655177278,72.0702740811,70.1493899841,69.1690199648,68.5051400956,67.6731639369,66.9781512055,65.684494778,65.6339808909
mw52.9,2,75.2341934615,74.9705265294,74.6668445184,74.3126657607,73.8941240958,73.3925507689,72.7801061406,72.0145675295,71.0304445404,69.7187799736,67.8854892119,65.1365587805,64.0216504483,63.8065868655,63.7868531041
mw52.10,2,85.3322377923,85.0517334781,84.7674745728,84.6028465649,84.4098641805,84.1788512626,83.8969399528,83.5455485152,83.0937787207,82.491646858,81.648833569,80.3863654115,78.2855657406,77.3346912695,77.322920244
mw52.12,2,68.9515347946,68.9483236646,68.9448131449,68.9411928689,68.9370615141,68.9326982539,68.9301921446,68.9282370318,68.9265794353,68.9247506903,68.9224290089,68.9204968479,68.9185281035,68.9165291533,68.9140253596
AM52.1,4,82.2492331402,82.2483438054,82.2473378923,82.2472420377,82.2471618365,82.2471187487,82.2470942956,82.247066292,82.2470371587,82.2469984773,82.2469487547,82.2469176524,82.2468675409,82.2468001238,82.2467675132
AM52.2,4,78.8637638619,78.8611698469,78.8582156761,78.8549386752,78.8514525356,78.8476193329,78.8443364134,78.8418728689,78.8389648423,78.8366117853,78.8339068169,78.8302109177,78.8246110388,78.8175860872,78.810495714
AM52.3,3,59.769381777,59.7681543542,59.7667669472,59.7666310727,59.766519109,59.7664575801,59.7664228608,59.7663828254,59.766342,59.7662905198,59.7662196175,59.7661750304,59.7661058546,59.7660095025,59.7659626682
AM52.4,3,49.5810094692,49.252983665,48.8769084195,48.439521228,47.9244203565,47.306346883,46.5510471193,45.6074453305,44.394976661,42.779095383,40.5175737583,37.1257056671,31.4812140594,28.5727830477,27.8249204621
AM52.5,3,68.2794501647,68.275412906,68.2711526233,68.2662209935,68.2608886756,68.2589124481,68.2565314104,68.2539764642,68.2507046261,68.2473289741,68.2447428861,68.2419267736,68.2381279665,68.2317218119,68.225404549
AM52.6,3,90.5896667745,88.8955902572,88.4014082721,87.8249352901,87.1442229486,86.7815800102,86.3383784381,85.7844929082,85.7518953251,85.719991198,85.6977077881,85.6642826733,85.6454418067,85.6297681007,85.6107229544
AM52.7,4,73.7668472568,73.2110148595,72.5698605297,71.8218867426,70.9380065097,69.877396467,68.5813612167,66.9615494091,64.8790948788,64.5261719608,64.0323593735,63.2929327663,62.094266354,59.6992008857,52.5150904716
AM52.9,4,47.69414952,47.6124153885,47.5181340878,47.4081447076,47.2781790582,47.1222439104,46.9316799869,46.6944884734,46.5168583554,46.3029313386,46.0130124208,45.584046474,44.874808001,43.480822545,42.9838177971
AM52.10,3,48.3871934694,48.3858622167,48.3843569314,48.3842061533,48.3840620246,48.3840104898,48.3839497749,48.3838872447,48.3838397607,48.383781588,48.3837047178,48.3836275013,48.3835510516,48.383473608,48.3834470709
AM52.11,2,172.7567202178,171.0790743592,169.1683834234,166.9392439981,164.3049512741,161.8033505682,159.6938259029,157.2412969913,154.5515636941,150.9705729615,147.6130299214,145.2057123084,142.0787128942,135.8833806806,121.1685223213
AM52.12,2,131.7317320471,131.3217368714,130.8493134396,130.602790535,130.391487982,130.1588442924,129.899497117,129.5876753225,129.19054679,128.916703187,128.5340359616,128.0639464068,127.2834824919,125.7263670591,121.0643984916
AM52.13,3,88.0713472917,88.070700338,88.0701098633,88.0696846482,88.0692126473,88.0686478417,88.0679851354,88.067160965,88.0661973972,88.0651402914,88.0640830654,88.0631314037,88.0617078865,88.061024953,88.0608427187
AM55.1,4,65.3019162277,63.4028494313,61.2124749773,58.6591799423,55.6419959392,53.5219631092,50.9314979824,49.0167096206,46.5559291894,45.1645034918,43.6586265215,41.4042978245,39.9840592583,37.1462135242,35.9222261831
AM55.2,2,229.2886925571,227.2042211214,224.7990886851,221.9933048801,218.677394008,215.4779893006,211.567615639,206.6796577201,200.395157548,192.0158257539,180.2850637666,163.7342978493,136.1513050508,135.910017224,135.1876148818
AM55.8,4,106.622484813,101.7912051915,98.5546082006,94.7787865411,90.3901988482,85.1241001185,83.2339772689,80.8713513967,77.8337094589,73.7835766057,68.1133913686,59.6089849613,46.4145421057,20.0266144787,20.0063279462
AM55.9,4,52.2541787136,50.5376356691,48.5573371736,46.3030903342,44.4382279302,42.2004292047,40.2408245813,37.7919422641,36.2480373274,34.1900484936,31.3103761363,26.9909863878,24.6674486412,20.0268376885,20.0252968555
AM55.10,3,59.3679928947,56.7783414946,53.7903017908,50.438564619,46.4777107832,43.9118597325,40.7772409776,37.6517811906,33.6342933306,29.5346420884,25.7258203911,20.0129146359,20.0077029127,20.0013651751,20.0007840024
AM55.11,3,65.8579345546,64.8809023024,63.7547379625,62.4430522383,60.9186109169,59.1100410192,56.9006984108,54.150952918,50.6160392911,45.9051297377,40.9398786982,35.8776289202,30.5875603539,20.0080368674,20.0008595405
mw54.1,4,65.2990306076,63.4019425317,61.2139296886,58.6612480783,55.646799702,53.5269149798,50.9373864265,49.0222452518,46.5605921408,45.1667200497,43.6569937441,41.3984288654,39.9690566622,37.1298798622,35.9383770432
mw54.2,4,229.2937814306,227.2080784401,224.8015122126,221.9938691823,218.6757697126,215.4759877552,211.5651588377,206.6766613142,200.3915379632,192.0113814266,180.2795940495,163.7290134507,136.1451979163,135.899580412,135.166963569
mw54.8,4,106.6314596916,101.8005046464,98.5640842382,94.7885757187,90.4002528035,85.1347065065,83.2446251551,80.8820667499,77.8446001675,73.7948574941,68.1252504362,59.6222216388,46.4290451848,20.0444214841,20.0342559128
mw54.9,4,52.25902114,50.5422820592,48.5621415767,46.3112741563,44.4467359619,42.2094082751,40.2497464943,37.8017028614,36.2573426534,34.1987789448,31.3195427568,27.0011585946,24.6751324052,20.0364798569,20.0359150961
mw54.10,2,59.3847888227,56.7964323299,53.8099383439,50.4588251768,46.4991765221,43.9350384709,40.8015773042,37.6769307484,33.661607948,29.5737225487,25.7696938661,20.0638280725,20.0555691085,20.0432108533,20.0406640866
mw54.11,4,65.8450127419,64.8692350418,63.7444573709,62.4342201201,60.9133495218,59.1070677779,56.9007298882,54.1546168304,50.6246662448,45.9195347101,40.9624000045,35.9064057721,30.6200361089,20.0484811127,20.0347172793
AM57.1,4,81.4205834345,81.4182239144,81.4155104631,81.4123532395,81.4086250769,81.4041575335,81.3987012299,81.3918867289,81.3831355046,81.371481326,81.3551849207,81.3529821869,81.3514670181,81.3488280706,81.3486306727
AM57.2,4,85.8648384418,85.8593517507,85.8532007607,85.8460943116,85.8379385204,85.8345793578,85.830807738,85.826606247,85.8239608757,85.8210171226,85.8188136577,85.8162384227,85.81210531,85.8109382008,85.8085663049
AM57.3,4,41.4047601267,40.1979947598,39.3290462521,38.4049601311,37.3130135022,36.002781322,36.0014585036,36.0012051079,36.0009050862,36.0008049288,36.0006936278,36.0006083113,36.0004926899,36.0003160349,36.00031321
AM57.5,4,214.4679873545,213.6372148217,212.6964017944,211.6034958879,210.3187023269,208.7806904182,206.9038295074,204.559480242,201.548903133,197.5348335986,191.9664028726,183.6158021753,169.6981343464,169.5367258065,169.0618173663
AM58.2,2,130.7049394006,130.487363863,130.2370570184,129.9808082532,129.7580003909,129.5122182753,129.2395273493,128.9119273238,128.4934878662,128.1555579869,127.6841837734,126.9829559697,125.8172083522,123.5832333953,116.8850333768
AM58.3,2,87.2614857646,87.2610302926,87.2605353053,87.2599674482,87.2593904441,87.2587355287,87.2580696534,87.2576938831,87.2572750946,87.2567254012,87.25599394,87.2552877959,87.2544324458,87.2528834074,87.2483885151
AM58.5,2,71.6746534963,71.6743006795,71.6739346532,71.6735128847,71.6730318018,71.6726468898,71.6723081977,71.6719348665,71.6714811276,71.6710217806,71.6703790453,71.6694750682,71.6686268131,71.6671373015,71.6641322045
AM59.1,2,112.1177317419,110.9387782478,109.5784717688,107.9921877001,106.5834834786,104.8930388373,102.8269775502,101.0670724722,99.1570505731,96.6416503471,96.5949136822,96.5248086849,96.5241110736,96.5227158509,96.5227158509
AM59.2,2,114.4612942107,114.1265923671,113.7404015648,113.2898529015,112.7574156253,112.1184932198,111.3376196731,110.3615437197,109.1065958796,107.4333424555,105.0908221131,101.5770708489,96.4725449109,96.4680119019,96.4661761887
AM59.3,2,114.4616191879,114.127407155,113.7417851192,113.2919350879,112.7602985671,112.122335444,111.342602883,110.3679372446,109.1148030928,107.4439631383,105.1047884128,101.5960359034,96.470647154,96.4660577723,96.463758693
AM59.4,2,84.8978965185,84.73330396,84.6349373791,84.5233497703,84.3942143604,84.2445658684,84.0636762737,83.8391182658,83.5529513614,83.1746521722,83.1720664945,83.1698931077,83.1682595874,83.1649925467,83.1551914246
AM59.5,2,61.7728457745,61.7692002558,61.7653046541,61.7614965257,61.7582615323,61.754843362,61.7507906798,61.7468208028,61.7434277321,61.7400734907,61.7366596482,61.7326039936,61.7288078801,61.7243378713,61.7217560981
AM59.6,2,77.8885256857,77.8869720827,77.8854015734,77.8835724482,77.8814785629,77.8789818504,77.8762678063,77.8732810647,77.8705877235,77.8681891918,77.8657085398,77.862789455,77.8600855345,77.8571470709,77.8560779137
AM59.7,3,94.3533863727,93.6965171761,92.9386382913,92.0544606857,91.0095292414,89.7556260197,88.2234338884,86.3707822553,83.9893371076,80.8149089898,77.5325073135,77.5209345923,77.5033050047,77.5030399905,77.5025170821
mw56.2,4,76.8796214803,76.8732569644,76.8662026789,76.8579790942,76.8484610278,76.844449505,76.839927812,76.8346806737,76.8312056025,76.8280882195,76.8247857938,76.8220013005,76.8173709929,76.8162826467,76.8144060472
mw56.3,4,70.7882794893,70.7827801336,70.7764369958,70.7690957502,70.7605129827,70.7548355965,70.7524036136,70.7498066918,70.7483908337,70.7475867716,70.7464950135,70.7450555825,70.7426924475,70.7396104113,70.7341376945
mw56.4,4,58.3357941964,58.0307408072,57.6801898753,57.2729175446,56.7921957077,56.2156063555,55.5111417269,54.6309079329,53.4997883342,51.9917346616,49.8807360959,46.7155024533,46.1797107331,45.1099338514,41.9126078482
mw56.5,4,71.1659971647,70.8180909851,70.7060053192,70.5826800492,70.4386145599,70.2664799138,70.0561128667,69.7933277948,69.4561390785,69.0068301811,68.3779128266,67.4349184428,67.070215182,66.342361567,64.1692215779
mw56.6,4,80.3693795527,78.8915721977,77.1864133993,75.1971038119,72.8461086801,70.024915149,66.5772037956,63.8824345597,60.4177851917,56.5907937317,51.2332821322,49.418872094,46.4023897015,46.4019476695,46.4010785788
mw58.2,4,74.8050132146,74.4769732831,74.0988626385,73.6578525498,73.1367017695,72.5116188727,71.7476943348,70.792965573,69.5669797618,68.6541557992,68.101229548,67.4089943091,66.9034851786,66.0071860084,65.9167746876
mw58.3,4,69.5045047409,69.3102757239,69.0881506517,68.829736859,68.5251405221,68.1602046497,67.7143316271,67.1570859451,66.4410615073,65.4864847619,64.1504088592,62.1472343463,60.4090915526,58.9649410808,55.2514666882
mw58.4,4,80.568825753,80.0479424062,79.4474275475,79.339367909,79.2194224523,79.0769605485,78.9028630006,78.6854121789,78.4064444342,78.034698268,77.5150115197,76.7355454566,75.4366970896,74.9693745248,73.5773820815
mw58.6,4,67.9307699556,67.9239344197,67.9162044677,67.9072727621,67.8968046486,67.8924956287,67.8875320684,67.8817867983,67.8786311211,67.8750208596,67.8723676416,67.8692761541,67.8642466956,67.8627435763,67.8606707382
mw58.7,4,86.6076006497,85.3911550321,83.9875936005,83.0320308401,81.9028411553,80.6501280025,79.1191384617,77.2054156222,74.7449150124,71.4642906768,66.8720663896,66.4191188766,65.6713067352,65.6710010618,65.6703966778
mw58.8,4,46.4386418363,46.3858156524,46.3251055345,46.2543254771,46.1707156525,46.0705593211,45.9482751441,45.7967909905,45.6024390081,45.3446761893,44.9838956536,44.4427555527,43.5408751755,41.7371847499,41.2551177519
mw60.1,2,57.9604076754,57.6633341171,57.3206146864,56.920911303,56.4487335056,55.8821785134,55.1898000064,54.3243340184,53.2118954897,51.7287655121,49.6524030158,46.5418296069,45.8094334457,44.5087947587,44.3712221202
mw60.2,2,57.9488825895,57.6510026327,57.3073064233,56.9063384801,56.4325024534,55.8642229428,55.1698009885,54.3018382475,53.1859045748,51.6982685609,49.6158660237,46.4925795683,45.7729528971,44.4829597033,44.3817416819
mw60.3,2,80.6064318183,80.0871733893,79.4881340409,79.385279527,79.265243631,79.1213444076,78.9465757519,78.7290921589,78.4495068486,78.0768088378,77.5553448412,76.7748501303,75.4776053458,75.0108254511,73.6351339813
mw60.4,2,67.8394889905,67.8379671528,67.836843136,67.8355757601,67.8341434874,67.8324400527,67.8305137825,67.8282328812,67.8254648023,67.8246227561,67.8235288459,67.8222052975,67.8202235723,67.8178916653,67.8165773931
mw60.5,4,67.8514180029,67.8500126585,67.8484015983,67.8468209448,67.845097939,67.8441396994,67.8431558369,67.84208412,67.8407133351,67.839520904,67.8381444306,67.8361690866,67.8341362078,67.8304960934,67.8233038284
mw60.6,2,86.8211481175,85.6100464862,84.2126520488,83.256326686,82.1262334278,80.8773886245,79.3513100934,77.443764371,74.9913042089,71.7214721046,67.1439994881,66.7024848999,65.9675182791,65.9672248754,65.9666252905
mw60.7,3,48.9422216266,48.7694571248,48.5709374997,48.3432341042,48.0741665382,47.7528984075,47.3604649376,46.8701350517,46.2406180093,45.4013322518,44.2263739124,42.464350323,39.5278962931,37.1634353147,36.6288355063
mw15.1,4,51.531583682,49.5963574657,47.4159503127,44.9247497071,42.1007421006,38.7168861319,34.5951396917,29.4458755845,26.2844970389,22.5391717663,17.3003545062,11.3398784343,5.1614464809,2.5556303692,1.3957471762
mw15.2,4,83.7496507139,81.73827554,79.867137712,77.7207541898,75.1876202115,72.1585620295,68.4566512781,63.833712806,61.1558741994,57.5858429737,52.6364973856,45.7248335028,36.9159300504,28.101357102,1.6641922275
mw15.3,4,162.1080636522,156.7227205736,150.5094267682,143.2621330802,135.8043896973,126.8641110225,115.93755752,102.2931961495,88.8180053224,70.8539310518,61.7938133577,48.2054142049,30.874001666,1.6449896222,1.5949617017
mw15.4,4,51.0954047974,48.854501015,46.2703514678,43.2596420565,40.3069191159,37.4181078366,33.9284872625,31.2778498105,27.9240583769,23.4754880523,21.3901236578,18.3874129006,13.4196583331,3.8335681906,3.8272110577
mw15.5,4,56.8247228186,54.9068099764,52.6949681763,50.1145400976,47.0682262194,43.6209198393,40.7602737179,37.5217066577,35.7923214143,33.6189325816,30.5901033479,26.0485170162,20.0247657318,8.4472789406,1.2792018214
AM15.1,4,59.6984133666,58.253812524,56.8931599181,56.1517730222,55.3103691613,54.3288417516,53.2052489721,51.8258692201,50.0711458486,47.7315653943,44.4612963917,39.5558959401,34.8634982767,26.4156625281,1.1300682059
mw15.6,3,106.097087724,103.9589976746,102.0718678273,99.886519261,97.3102240571,94.2372215209,90.9543909503,86.8664015614,81.6223032486,76.5244271268,69.3884104439,58.7051011776,49.44382069,30.9306749335,3.4701800443
AM15.2,4,87.7785208055,86.0938878345,84.1500823215,81.8845650884,79.2072235984,77.163033232,75.6628931462,73.8035993833,71.4252327359,68.9072120266,65.3946319913,61.2554592183,54.3791074079,41.6038459641,3.2848667644
AM15.3,4,67.5950873251,66.5853228385,65.8038063554,64.9199578724,63.8978196337,62.7326879132,61.3313581663,59.589958741,57.3510220395,54.3703612818,50.1974573474,44.3355976585,36.6603880007,24.4237730881,3.1009120658
