@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R2,165-166,274'

@attribute time numeric
@attribute orgdon-wateraccratio numeric
@attribute inorg-org-moleratio numeric
@attribute outcome {1,2,3,4}

@data
10,-0.0046,6.0883,2
10,-0.0042,5.7518,3
10,-0.008,3.5212,3
10,-0.0022,6.3463,3
10,-0.0022,5.6361,3
10,-0.0042,3.226,3
10,-0.0084,6.7351,3
10,-0.0077,6.0577,3
10,-0.0162,3.4827,3
10,-0.0021,6.553,2
10,-0.0021,5.8327,4
10,-0.0042,3.391,1
10,-0.004,6.9779,4
10,-0.004,5.9497,1
10,-0.0082,3.4819,4
10,-0.0158,6.9716,4
10,-0.0259,3.7042,3
10,-0.033,3.3846,1
48,-0.0162,6.2158,3
48,-0.0102,6.28,3
48,-0.0059,6.8375,1
48,-0.0036,5.3179,4
48,-0.0041,4.6195,3
48,-0.0054,7.3987,3
48,-0.0027,6.9517,4
24,-0.0119,5.6619,1
24,-0.0098,6.0776,2
24,-0.0058,6.6249,3
24,-0.0035,4.6482,2
24,-0.0261,6.4384,3
24,-0.0055,7.3767,1
24,-0.0029,6.5497,3
20,-0.0062,7.8412,3
20,-0.0064,6.7164,3
20,-0.0059,6.8321,4
20,-0.0062,4.6951,4
20,-0.0132,2.2932,1
20,-0.0071,5.9384,3
20,-0.006,7.0734,3
20,-0.0064,6.4415,4
20,-0.0062,6.6969,4
20,-0.0063,6.6073,3
20,-0.0064,6.2927,4
120,-0.3306,0.0175,3
120,-0.3258,0.0181,3
120,-0.3323,0.0176,3
120,-0.3304,0.0173,3
60,-0.0154,2.9041,4
60,-0.0149,2.2598,4
60,-0.0151,9.0388,4
60,-0.0151,2.9869,4
60,-0.0168,2.0184,3
60,-0.015,2.2395,4
60,-0.0158,2.8286,3
60,-0.0151,2.2387,4
84,-0.0017,2.8892,4
84,-0.0017,2.3038,4
84,-0.0017,2.182,4
84,-0.0034,2.8771,3
84,-0.0033,2.2638,1
