@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R39,41,85,96,164,240,254,267,274'

@attribute orgvanderwaalsMin numeric
@attribute orgASA+Min numeric
@attribute orghbdamsdonGeomAvg numeric
@attribute oxlikevanderwaalsMax numeric
@attribute orgacc-waterdonratio numeric
@attribute PaulingElectronegMean numeric
@attribute hardnessMaxWeighted numeric
@attribute AtomicRadiusMeanWeighted numeric
@attribute outcome {1,2}

@data
295.52,244.26,4,-1,0,1.63,0.2894,0.1649,2
295.52,244.26,4,-1,0,1.63,0.2984,0.17,2
295.52,244.26,4,-1,0,1.63,0.3017,0.1719,2
295.52,244.26,4,-1,0,2.09,3.7445,0.5989,2
281.27,216.3,0.73,-1,-0.0044,2.09,4.3875,0.6915,2
281.27,216.3,0.73,-1,-0.0055,2.09,4.402,0.6954,2
281.27,216.3,0.73,-1,-0.0042,2.09,3.8678,0.6199,2
258.23,222.38,4,-1,0,2.09,4.4776,0.7047,2
281.27,216.3,0,-1,-0.0385,2.09,1.826,0.4237,2
281.27,216.3,0.03,-1,-0.0249,2.09,2.3195,0.4905,1
281.27,216.3,0.73,-1,-0.0155,2.09,4.6265,0.8067,2
275.81,239.3,1.99,-1,0,2.09,2.7602,0.4657,2
275.81,239.3,1.99,-1,0,2.09,2.2576,0.3991,2
275.81,239.3,1.99,-1,0,2.09,2.2321,0.3935,2
275.81,239.3,2,-1,0,2.09,2.2233,0.3954,2
275.81,239.3,2,-1,0,2.09,2.3884,0.4166,2
275.81,239.3,1.99,-1,0,2.09,2.7649,0.4674,2
275.81,239.3,1.99,-1,0,2.09,2.8194,0.4754,2
275.81,239.3,1.99,-1,0,2.09,2.6277,0.4478,2
275.81,239.3,1.99,-1,0,2.09,2.7397,0.4635,2
275.81,239.3,1.99,-1,0,2.09,2.7548,0.4657,2
275.81,239.3,1.99,-1,0,2.09,2.4126,0.4191,2
229.03,211.13,4,-1,0,2.09,4.3744,0.6882,1
229.03,211.13,4,-1,0,2.09,4.4326,0.7001,2
229.03,211.13,4,-1,0,2.09,4.4645,0.7053,2
229.03,211.13,4,-1,0,2.09,4.4151,0.6968,2
229.03,211.13,4,-1,0,2.09,4.4581,0.703,2
229.03,211.13,4,-1,0,2.09,4.4248,0.697,2
229.03,211.13,4,-1,0,2.09,4.4568,0.7018,2
275.81,239.3,1.99,-1,0,2.09,3.6991,0.5965,2
275.81,239.3,1.99,-1,0,2.09,4.4874,0.7061,2
258.23,222.38,4,-1,0,2.09,3.7095,0.5998,2
258.23,222.38,4,-1,0,2.09,4.5724,0.7175,2
275.81,239.3,1.99,-1,0,2.09,3.7172,0.5987,2
275.81,239.3,1.99,-1,0,2.09,4.4776,0.704,2
211.8,211.8,2,-1,0,2.09,3.7145,0.5987,2
