@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6,33,63,100,165,168,170,172,180,184,231,274'

@attribute Temp_max numeric
@attribute slowCool {yes,no}
@attribute leak {yes,no}
@attribute numberInorg numeric
@attribute orgmaximalprojectionsizeMin numeric
@attribute orgASA_PArithAvg numeric
@attribute oxlikeASA_HMax numeric
@attribute orgdon-wateraccratio numeric
@attribute Na {yes,no}
@attribute Te {yes,no}
@attribute K {yes,no}
@attribute S {yes,no}
@attribute Co {yes,no}
@attribute AtomicRadiusMax numeric
@attribute outcome {1,2,3,4}

@data
110,yes,no,2,4.08,30.99,-1,-0.0019,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.0082,no,no,no,yes,no,171,4
110,yes,no,2,5.69,36.59,-1,-0.014,no,no,no,yes,no,171,3
110,yes,no,2,5.69,36.59,-1,-0.0126,no,no,no,yes,no,171,4
110,yes,no,2,5.69,36.59,-1,-0.024,no,no,no,yes,no,171,3
110,yes,no,2,5.18,33.93,-1,-0.0028,no,no,no,yes,no,171,3
110,yes,no,2,5.18,33.93,-1,-0.0034,no,no,no,yes,no,171,4
110,yes,no,2,5.69,64.03,-1,-0.016,no,no,no,yes,no,171,4
110,yes,no,2,5.69,64.03,-1,-0.0156,no,no,no,yes,no,171,4
110,yes,no,2,5.18,59.99,-1,-0.1857,no,no,no,yes,no,171,4
110,yes,no,2,5.18,59.99,-1,-0.1855,no,no,no,yes,no,171,4
110,yes,no,2,5.18,59.99,-1,-0.1857,no,no,no,yes,no,171,1
110,yes,no,2,5.69,64.03,-1,-0.5663,no,no,no,yes,no,171,4
110,yes,no,2,5.69,64.03,-1,-0.5663,no,no,no,yes,no,171,1
110,yes,no,2,5.69,64.03,-1,-0.5663,no,no,no,yes,no,171,1
110,yes,no,2,5.52,32.37,-1,-0.0129,no,no,no,yes,no,171,4
110,yes,no,2,5.52,32.37,-1,-0.0147,no,no,no,yes,no,171,4
110,yes,no,2,5.52,32.37,-1,-0.0122,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.0051,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.0046,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.0046,no,no,no,yes,no,171,4
110,yes,no,2,7.39,107.52,-1,-0.0966,no,no,no,yes,no,171,2
110,yes,no,2,4.65,27.88,-1,-0.005,no,no,no,yes,no,171,3
150,yes,no,2,5.18,33.93,-1,-0.0024,yes,no,no,no,no,171,4
150,yes,no,2,4.08,31.24,-1,-0.0045,yes,no,no,no,no,171,4
150,yes,no,2,5.69,64.03,-1,-0.0149,yes,no,no,no,no,171,4
150,yes,no,2,5.88,16.6,-1,-0.0061,yes,no,no,no,no,171,3
150,yes,yes,2,5.52,32.37,-1,-0.012,yes,no,no,no,no,171,2
150,yes,no,2,5.3,96.11,-1,-0.0183,yes,no,no,no,no,171,4
110,yes,no,2,5.25,12.27,-1,-0.0077,no,no,no,yes,no,171,4
110,yes,no,2,5.25,12.27,-1,-0.006,no,no,no,yes,no,171,2
110,yes,no,2,5.52,32.37,-1,-0.018,no,no,no,yes,no,171,4
110,yes,no,2,5.52,23.05,-1,-0.0198,no,no,no,yes,no,171,3
110,yes,no,2,4.08,30.99,-1,-0.0028,no,no,no,yes,no,171,3
110,yes,no,2,4.08,30.99,-1,-0.0001,no,no,no,yes,no,171,3
110,yes,no,2,5.18,33.93,-1,-0.001,no,no,no,yes,no,171,4
110,yes,no,2,5.18,33.93,-1,0,no,no,no,yes,no,171,3
75,yes,no,2,6.62,17.76,-1,-0.006,no,no,no,no,no,171,3
75,yes,no,2,6.62,17.76,-1,-0.006,no,no,no,no,no,171,3
75,yes,no,2,5.25,13.86,-1,-0.0064,no,no,no,no,no,171,4
75,yes,no,2,5.88,16.6,-1,-0.0058,no,no,no,no,no,171,3
75,yes,no,2,5.88,16.6,-1,-0.0061,no,no,no,no,no,171,3
75,yes,no,2,5.52,32.37,-1,-0.0117,no,no,no,no,no,171,3
75,yes,no,2,5.52,32.37,-1,-0.0128,no,no,no,no,no,171,3
110,yes,no,2,5.18,33.93,-1,-0.0026,no,no,no,yes,no,171,4
110,yes,no,2,5.18,33.93,-1,-0.0008,no,no,no,yes,no,171,4
110,yes,no,2,5.18,33.93,-1,-0.0001,no,no,no,yes,no,171,3
110,yes,no,2,5.18,33.93,-1,0,no,no,no,yes,no,171,3
110,yes,no,2,5.18,59.99,-1,-0.0033,no,no,no,yes,no,171,4
110,yes,no,2,5.18,33.93,-1,-0.003,no,no,no,yes,no,171,4
110,yes,no,2,5.18,33.93,-1,-0.0009,no,no,no,yes,no,171,3
110,yes,no,2,5.18,33.93,-1,-0.0002,no,no,no,yes,no,171,4
110,yes,no,2,6.62,17.76,-1,-0.0058,no,no,no,no,no,171,2
110,yes,no,2,6.62,17.76,-1,-0.0062,no,no,no,no,no,171,3
110,yes,no,2,5.25,13.86,-1,-0.0056,no,no,no,no,no,171,4
110,yes,no,2,5.25,13.86,-1,-0.0062,no,no,no,no,no,171,3
110,yes,no,2,5.88,16.6,-1,-0.0059,no,no,no,no,no,171,3
110,yes,no,2,5.88,16.6,-1,-0.0059,no,no,no,no,no,171,2
110,yes,no,2,5.52,32.37,-1,-0.0122,no,no,no,no,no,171,3
110,yes,no,2,5.52,32.37,-1,-0.012,no,no,no,no,no,171,3
110,yes,no,2,4.08,31.24,-1,-0.0051,no,no,no,yes,no,171,4
110,yes,no,2,4.08,30.99,-1,0,no,no,no,yes,no,171,3
110,yes,no,2,4.08,31.24,-1,-0.0062,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.006,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.0098,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.0093,no,no,no,yes,no,171,4
110,yes,no,2,4.08,30.99,-1,-0.0049,no,no,no,yes,no,171,4
110,yes,no,2,4.08,30.99,-1,0,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.0095,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.0084,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.01,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.0091,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.0143,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.0131,no,no,no,yes,no,171,4
110,yes,no,2,4.08,31.24,-1,-0.0146,no,no,no,yes,no,171,3
110,yes,no,2,4.08,31.24,-1,-0.0126,no,no,no,yes,no,171,4
110,yes,no,2,5.69,64.03,-1,-0.1696,no,no,no,yes,no,171,4
110,yes,no,2,5.69,64.03,-1,-0.1152,no,no,no,yes,no,171,1
110,yes,no,2,5.25,13.86,-1,-0.0735,no,no,no,yes,no,171,4
110,yes,no,2,5.25,13.86,-1,-0.0698,no,no,no,yes,no,171,1
110,yes,no,2,5.69,36.59,-1,-0.1738,no,no,no,yes,no,171,2
110,yes,no,2,5.69,36.59,-1,-0.2127,no,no,no,yes,no,171,2
110,yes,no,2,5.55,72.41,-1,-0.1872,no,no,no,yes,no,171,3
110,yes,no,2,5.55,72.41,-1,-0.1841,no,no,no,yes,no,171,4
110,yes,no,2,5.93,128.75,-1,-0.0256,no,no,no,yes,no,171,3
110,yes,no,2,5.56,41.81,-1,-0.0112,no,no,no,yes,no,171,1
110,yes,no,2,5.56,41.81,-1,-0.0138,no,no,no,yes,no,171,3
110,yes,no,2,5.88,16.6,-1,-0.0066,no,no,no,yes,no,171,2
110,yes,no,2,5.88,16.6,-1,-0.0071,no,no,no,yes,no,171,2
110,yes,no,2,5.4,112.14,-1,-0.0249,no,no,no,yes,no,171,4
110,yes,no,2,5.4,112.14,-1,-0.0269,no,no,no,yes,no,171,4
120,yes,no,2,5.25,12.27,-1,-0.028,no,no,no,no,no,171,3
120,yes,no,2,5.25,12.27,-1,-0.0228,no,no,no,no,no,171,4
120,yes,no,2,5.25,13.86,-1,-0.0232,no,no,no,no,no,171,3
120,yes,no,2,5.25,13.86,-1,-0.018,no,no,no,no,no,171,4
120,yes,yes,2,5.25,13.86,-1,-0.0119,no,no,no,no,no,171,4
120,yes,no,2,5.25,13.86,-1,-0.007,no,no,no,no,no,171,3
120,yes,no,2,5.25,12.27,-1,-0.0228,no,no,no,no,no,171,3
120,yes,no,2,5.25,12.27,-1,-0.0184,no,no,no,no,no,171,3
120,yes,no,2,5.25,12.27,-1,-0.0148,no,no,no,no,no,171,4
120,yes,no,2,5.25,12.27,-1,-0.0093,no,no,no,no,no,171,4
120,yes,yes,2,5.25,12.27,-1,-0.005,no,no,no,no,no,171,3
120,yes,yes,2,5.25,12.27,-1,-0.0192,no,no,no,no,no,171,1
120,yes,yes,2,5.25,12.27,-1,-0.014,no,no,no,no,no,171,1
120,yes,yes,2,5.25,12.27,-1,-0.0093,no,no,no,no,no,171,4
120,yes,no,2,5.25,12.27,-1,-0.0052,no,no,no,no,no,171,3
120,yes,no,2,5.25,12.27,-1,-0.014,no,no,no,no,no,171,3
120,yes,no,2,5.25,12.27,-1,-0.0088,no,no,no,no,no,171,3
120,yes,no,2,5.25,12.27,-1,-0.0047,no,no,no,no,no,171,3
120,yes,no,2,5.25,12.27,-1,-0.0092,no,no,no,no,no,171,4
120,yes,no,2,5.25,12.27,-1,-0.0044,no,no,no,no,no,171,4
120,yes,no,2,5.25,12.27,-1,-0.0045,no,no,no,no,no,171,4
