@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,9-12,18,31,39,44,82,84,168,176,180,182-183,188,228,254,274'

@attribute Temp_max numeric
@attribute slowCool {yes,no}
@attribute pH numeric
@attribute leak {yes,no}
@attribute numberComponents numeric
@attribute orgavgpolMax numeric
@attribute orgrefractivityMax numeric
@attribute orgmaximalprojectionareaMax numeric
@attribute orgavgpol_pHdependentMax numeric
@attribute orgmaximalprojectionareaMin numeric
@attribute orgvanderwaalsMin numeric
@attribute orgASA_PMin numeric
@attribute orgASA_PGeomAvg numeric
@attribute orghbdamsaccGeomAvg numeric
@attribute Na {yes,no}
@attribute Mo {yes,no}
@attribute S {yes,no}
@attribute Se {yes,no}
@attribute Zn {yes,no}
@attribute Cr {yes,no}
@attribute PaulingElectronegMax numeric
@attribute hardnessMaxWeighted numeric
@attribute outcome {1,2}

@data
90,yes,7,no,3,18.04,43.32,55.87,18.99,55.87,368.01,119.9,119.9,1.13,no,no,yes,yes,no,no,2.55,1.8929,2
110,yes,2,no,3,11.97,30.74,39.23,12.54,39.23,238.74,27.89,27.89,0,no,no,yes,yes,no,no,2.55,1.076,2
110,yes,2,no,3,15.28,38.69,48.77,16.3,48.77,269.22,72.41,72.41,0.01,no,no,yes,yes,no,no,2.55,2.3013,2
110,yes,2,no,3,15.28,38.69,48.77,16.3,48.77,269.22,72.41,72.41,0.01,no,no,yes,yes,no,no,2.55,1.8754,2
110,yes,3,no,3,13.33,37.45,47.62,13.33,47.62,298.21,30.99,30.99,1.58,no,no,yes,yes,no,no,2.55,2.2791,2
110,yes,2,no,3,13.33,37.45,47.62,13.69,47.62,294.5,31.24,31.24,1.12,no,no,yes,yes,no,no,2.55,1.9232,2
110,yes,2,no,3,11.75,30.31,38.15,12.43,38.15,210.31,36.59,36.59,0,no,no,yes,yes,no,no,2.55,1.1507,2
110,yes,2,no,3,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0,no,no,yes,yes,no,no,2.55,2.2654,2
110,yes,1,no,3,9.73,26.34,36.07,10.08,36.07,273.23,59.99,59.99,1.03,no,no,yes,yes,no,no,2.55,3.3064,2
110,yes,1,no,3,9.73,26.34,36.07,10.08,36.07,273.23,59.99,59.99,1.03,no,no,yes,yes,no,no,2.55,4.4255,1
110,yes,1,no,3,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0,no,no,yes,yes,no,no,2.55,2.2254,2
110,yes,1,no,3,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0,no,no,yes,yes,no,no,2.55,3.329,1
110,yes,1,no,3,13.88,34.29,44.31,14.51,44.31,258.23,32.37,32.37,0,no,no,yes,yes,no,no,2.55,2.2768,2
110,yes,1,no,3,13.88,34.29,44.31,14.51,44.31,258.23,32.37,32.37,0,no,no,yes,yes,no,no,2.55,4.5411,2
