Reaction number,Reactant 1 name,Reactant 1 mass (g),Reactant 2 name,Reactant 2 mass (g),Reactant 3 name,Reactant 3 mass (g),Reactant 4 name,Reactant 4 mass (g),Reactant 5 name,Reactant 5 mass (g),Temp (ºC),Time (h),Slow cool,pH (x = unknown),Leak,purity (0 = no data in notebook; 1 = multiphase; 2 = single phase),"outcome (0 = no data in notebook, 1 = no solid; 2 = noncrystalline/brown; 3 = powder/crystallites; 4 = large single crystals)",Notes
dh44.3,V2O5,0.1837,Na2TeO3,x,pip,0.1153,EtOH,4.0141,water,5.126,180,59.5,no,8,no,1,4,
dh44.4,V2O5,0.1844,Na2TeO3,0.1185,dabco,0.139,EtOH,3.9899,water,5.1639,180,83,no,9,no,1,3,
dh44.5,V2O5,0.1861,Na2TeO3,0.1174,dabco,0.1089,EtOH,3.986,water,5.0712,180,107,no,9,no,1,3,
dh44.6,V2O5,0.1815,Na2TeO3,0.1158,dabco,0.1188,EtOH,3.9724,water,5.0623,180,59.5,no,9,no,1,3,
dh44.7,V2O5,0.1824,Na2TeO3,0.119,"1,4-dab",0.108,EtOH,4.1074,water,5.0826,180,83,no,10,no,1,4,
dh44.8,V2O5,0.187,Na2TeO3,0.119,"1,4-dab",0.0898,EtOH,3.9797,water,5.2595,180,107,no,10,no,1,4,
dh44.9,V2O5,0.1838,Na2TeO3,0.1301,"1,4-dab",0.0954,EtOH,3.9726,water,6.0255,180,59.5,no,10,no,1,4,
dh44.10,V2O5,0.1838,Na2TeO3,0.1158,2-mpip,0.1213,EtOH,4.0419,water,5.8086,180,83,no,10,no,2,3,
dh44.11,V2O5,0.1797,Na2TeO3,0.1224,2-mpip,0.1227,EtOH,3.9952,water,5.1248,180,107,no,10,no,1,4,
dh44.12,V2O5,0.1817,Na2TeO3,0.1154,2-mpip,0.1458,EtOH,4.005,water,5.0302,180,59.5,no,10,no,1,3,
dh44.13,V2O5,0.1806,Na2TeO3,0.1134,tmed,0.1124,EtOH,3.9978,water,5.327,180,83,no,9,no,1,4,
dh44.14,V2O5,0.181,Na2TeO3,0.1346,tmed,0.1184,EtOH,4.0288,water,5.0539,180,107,no,9,no,1,3,
dh44.15,V2O5,0.1806,Na2TeO3,0.1186,tmed,0.1343,EtOH,3.9574,water,5.3319,180,59.5,no,9,no,1,4,
dh44.16,V2O5,0.1832,Na2TeO3,0.1127,"1,5-dap",0.1071,EtOH,3.9537,water,5.0128,180,83,no,8,no,1,3,
