@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R5,25,60,164,172,175,180,241,274'

@attribute leak {yes,no}
@attribute orgASA_PMax numeric
@attribute orgASA+ArithAvg numeric
@attribute orgacc-waterdonratio numeric
@attribute K {yes,no}
@attribute I {yes,no}
@attribute S {yes,no}
@attribute PearsonElectronegMean numeric
@attribute outcome {1,2}

@data
no,16.6,267.29,0,no,no,no,350.7,2
no,58.26,200.73,0,no,no,no,459.35,1
no,58.26,200.73,0,no,no,no,350.7,1
yes,112.14,265.65,0,no,no,no,459.35,1
yes,112.14,265.65,0,no,no,no,350.7,1
yes,112.14,265.65,0,no,no,no,350.7,1
no,107.52,351.09,0,no,no,no,459.35,2
no,107.52,351.09,0,no,no,no,350.7,2
yes,107.52,351.09,0,no,no,no,350.7,1
no,27.89,220.5,0,no,no,no,459.35,2
no,96.11,189.33,0,no,no,yes,459.35,2
no,17.76,211.8,0,no,no,yes,459.35,2
no,96.38,194.24,0,no,no,yes,459.35,2
no,96.02,225.91,0,no,no,yes,459.35,2
no,27.89,220.5,0,no,no,yes,459.35,2
no,96.11,189.33,0,no,no,yes,459.35,2
no,96.11,189.33,0,no,no,yes,459.35,2
no,96.11,189.33,0,no,no,yes,459.35,2
no,96.11,189.33,0,no,no,yes,459.35,1
no,96.11,189.33,0,no,no,yes,459.35,2
no,96.11,189.33,0,no,no,yes,459.35,2
no,96.11,189.33,0,no,no,yes,459.35,2
no,96.11,189.33,0,no,no,yes,459.35,2
no,33.93,216.3,-0.0115,no,no,yes,459.35,2
no,13.86,239.3,-0.0004,no,no,yes,459.35,2
no,26.37,236.52,0,no,no,yes,459.35,2
no,44.53,244.26,0,no,no,yes,459.35,2
no,26.03,277.8,0,no,no,yes,459.35,2
no,16.6,267.29,0,no,no,yes,459.35,2
no,46.13,192.14,-0.5951,no,no,no,440.25,2
no,46.13,206.485,-0.5902,no,no,no,440.25,2
no,46.13,202.19,-0.5942,no,no,no,440.25,2
no,46.13,203.95,-0.5896,no,no,no,440.25,2
no,102.72,269.14,-0.5912,no,no,no,440.25,2
no,46.13,186.695,-0.5901,no,no,no,440.25,2
no,61.92,171.035,-0.5883,no,no,no,440.25,2
no,96.02,196.945,-0.5866,no,no,no,440.25,2
no,96.32,200.6,-0.5866,no,no,no,440.25,2
yes,27.89,220.5,0,no,no,no,459.35,1
no,27.89,220.5,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,1
no,13.86,239.3,0,no,no,no,459.35,2
no,59.99,244.65,-0.0023,no,no,no,459.35,2
no,59.99,244.65,-0.0023,no,no,no,459.35,2
no,59.99,244.65,-0.0045,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,459.35,2
no,45.39,287.07,-0.0021,no,no,no,459.35,1
no,45.39,287.07,-0.002,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,2
yes,16.6,267.29,0,no,no,no,459.35,1
no,112.14,265.65,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,459.35,2
no,27.89,220.5,0,no,no,no,459.35,2
no,59.99,244.65,-0.0038,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,2
no,45.39,287.07,-0.0026,no,no,no,459.35,2
yes,32.37,222.38,0,no,no,no,459.35,1
no,27.89,220.5,0,no,no,no,459.35,1
no,13.86,239.3,0,no,no,no,459.35,2
