@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R4-5,7,10,13,15-16,20,25,27,33-35,44,49,71,100,170,174,180,185,188,228,239,258,261,274'

@attribute pH numeric
@attribute leak {yes,no}
@attribute numberOrg numeric
@attribute orgavgpolMax numeric
@attribute orgmaximalprojectionradiusMax numeric
@attribute orgminimalprojectionareaMax numeric
@attribute orgminimalprojectionradiusMax numeric
@attribute orgvanderwaalsMax numeric
@attribute orgASA_PMax numeric
@attribute orghbdamsaccMax numeric
@attribute orgmaximalprojectionsizeMin numeric
@attribute orgminimalprojectionareaMin numeric
@attribute orgminimalprojectionradiusMin numeric
@attribute orgASA_PMin numeric
@attribute orgrefractivityArithAvg numeric
@attribute orgmaximalprojectionsizeGeomAvg numeric
@attribute oxlikeASA_HMax numeric
@attribute Te {yes,no}
@attribute F {yes,no}
@attribute S {yes,no}
@attribute Cl {yes,no}
@attribute Cr {yes,no}
@attribute PaulingElectronegMax numeric
@attribute EAMean numeric
@attribute PaulingElectronegMinWeighted numeric
@attribute AtomicRadiusMinWeighted numeric
@attribute outcome {1,2}

@data
2,no,1,12.56,5.74,21.83,2.92,282.76,112.14,0,5.4,21.83,2.92,112.14,30.59,5.4,-1,no,no,no,no,no,2.55,122.8,0.0017,0.1756,2
2,no,1,12.56,5.74,21.83,2.92,282.76,112.14,0,5.4,21.83,2.92,112.14,30.59,5.4,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1684,2
1,no,1,12.56,5.74,21.83,2.92,282.76,112.14,0,5.4,21.83,2.92,112.14,30.59,5.4,-1,no,no,no,no,no,2.55,122.8,0.0016,0.168,2
1,no,1,9.94,3.89,23.86,3.18,206.5,64.07,0,5.04,23.86,3.18,64.07,25.21,5.04,-1,no,no,no,yes,no,2.55,122.8,0.0016,0.1708,2
1,no,1,9.94,3.84,23.28,3.21,206.42,64.03,0,5.69,23.28,3.21,64.03,25.21,5.69,-1,no,no,no,yes,no,2.55,122.8,0.0016,0.1721,2
1,no,1,9.94,3.84,23.28,3.21,206.42,64.03,0,5.69,23.28,3.21,64.03,25.21,5.69,-1,no,no,no,yes,no,2.55,122.8,0.0016,0.169,2
2,no,1,11.86,4.18,25.13,3.43,229.03,36.99,0,5.54,25.13,3.43,36.99,29.87,5.54,0,no,no,no,no,no,2.55,122.8,0.0016,0.169,2
1,no,1,9.88,3.74,24.67,3.16,197.94,58.29,0,5.44,24.67,3.16,58.29,25.21,5.44,0,no,no,no,no,no,2.55,122.8,0.0017,0.176,2
1,no,1,9.94,3.89,23.86,3.18,206.5,64.07,0,5.04,23.86,3.18,64.07,25.21,5.04,0,no,no,no,yes,no,2.55,122.8,0.0016,0.1728,2
2,no,1,18.04,6.48,28.27,3.44,353.93,128.75,0,5.93,28.27,3.44,128.75,43.32,5.93,0,no,no,no,no,no,2.55,122.8,0.0017,0.1827,2
2,no,1,24.87,7.85,36.87,3.76,405.37,104.58,0.15,7.39,36.87,3.76,104.58,61.67,7.39,0,no,no,no,no,no,2.55,122.8,0.0016,0.1669,2
6,no,1,9.88,3.6,23.12,3.57,218.32,30.88,0.4,5.56,23.12,3.57,30.88,25.45,5.56,-1,no,no,yes,no,no,2.55,122.8,0.0033,0.3422,2
6,no,1,9.73,4.05,20.35,3.12,281.27,33.93,2,5.18,20.35,3.12,33.93,26.34,5.18,-1,no,no,yes,no,no,2.55,122.8,0.0032,0.3351,2
5,no,1,14.02,4.69,26.44,3.33,289.27,12.27,0.89,5.25,26.44,3.33,12.27,36.04,5.25,-1,no,no,yes,no,no,2.55,122.8,0.0032,0.3366,2
6,no,1,14.87,5.19,28.56,3.83,352.79,14.69,0.32,5.88,28.56,3.83,14.69,38.01,5.88,-1,no,no,yes,no,no,2.55,122.8,0.0032,0.3398,1
6,no,1,9.88,3.6,23.12,3.57,218.32,30.88,0.4,5.56,23.12,3.57,30.88,25.45,5.56,-1,no,no,yes,no,no,2.55,122.8,0.0033,0.3509,2
6,no,1,9.73,4.05,20.35,3.12,281.27,33.93,2,5.18,20.35,3.12,33.93,26.34,5.18,-1,no,no,yes,no,no,2.55,122.8,0.0033,0.3427,2
6,no,1,13.88,4.66,25.55,3.42,273.45,23.05,0.28,5.52,25.55,3.42,23.05,34.29,5.52,-1,no,no,yes,no,no,2.55,122.8,0.0033,0.3448,2
5,no,1,14.02,4.69,26.44,3.33,289.27,12.27,0.89,5.25,26.44,3.33,12.27,36.04,5.25,-1,no,no,yes,no,no,2.55,122.8,0.0031,0.3305,2
6,no,1,14.87,5.19,28.56,3.83,352.79,14.69,0.32,5.88,28.56,3.83,14.69,38.01,5.88,-1,no,no,yes,no,no,2.55,122.8,0.0033,0.3422,2
7,no,1,9.94,3.84,23.28,3.21,206.42,64.03,0.04,5.69,23.28,3.21,64.03,25.21,5.69,17.64,yes,no,no,yes,no,2.1,120.4,0.0019,0.1937,1
7,no,1,13.33,4.77,23.42,3.62,298.21,30.99,2,4.08,23.42,3.62,30.99,37.45,4.08,17.64,yes,no,no,no,no,2.1,120.4,0.0019,0.1454,2
7,no,1,13.88,4.66,25.55,3.42,273.45,23.05,0.8,5.52,25.55,3.42,23.05,34.29,5.52,17.64,yes,no,no,no,no,2.1,120.4,0.0019,0.1536,2
7,no,1,11.75,3.76,26.86,3.62,210.31,36.59,0.04,5.69,26.86,3.62,36.59,30.31,5.69,17.64,yes,no,no,no,no,2.1,120.4,0.002,0.1446,2
7,no,1,11.87,4.38,22.58,3.38,324.05,27.88,2,4.65,22.58,3.38,27.88,30.93,4.65,17.64,yes,no,no,no,no,2.1,120.4,0.0019,0.1458,2
7,no,1,18.04,6.48,28.27,3.44,368.01,119.9,1.13,5.93,28.27,3.44,119.9,43.32,5.93,17.64,yes,no,no,no,no,2.1,120.4,0.0019,0.145,2
7,no,1,9.47,3.66,22.88,3.06,239.3,0,0,5.71,22.88,3.06,0,25.19,5.71,17.64,yes,no,no,yes,no,2.1,120.4,0.0019,0.1466,2
7,no,1,13.11,5.81,21.98,2.94,301.3,96.32,0,5.47,21.98,2.94,96.32,31.98,5.47,17.64,yes,no,no,no,no,2.1,120.4,0.002,0.1493,2
7,no,1,14.02,4.69,26.44,3.33,289.27,12.27,1,5.25,26.44,3.33,12.27,36.04,5.25,17.64,yes,no,no,no,no,2.1,120.4,0.0019,0.1451,2
7,no,1,14.87,5.19,28.56,3.83,352.79,14.69,0.82,5.88,28.56,3.83,14.69,38.01,5.88,17.64,yes,no,no,no,no,2.1,120.4,0.0019,0.1454,2
7,no,1,12.56,5.74,21.83,2.92,299.78,104.8,0.81,5.4,21.83,2.92,104.8,30.59,5.4,17.64,yes,no,no,no,no,2.1,120.4,0.0019,0.1466,2
7,no,1,11.15,5.06,19.3,2.62,295.52,44.53,0.11,4.91,19.3,2.62,44.53,27.42,4.91,17.64,yes,no,no,no,no,2.1,120.4,0.002,0.143,2
7,no,1,17.76,5.4,37.19,4.81,346.48,143.27,1,5.73,37.19,4.81,143.27,43.84,5.73,17.64,yes,no,no,no,no,2.1,120.4,0.0019,0.1461,2
7,no,1,15.28,5.4,26.55,3.47,284.53,72.75,1,5.55,26.55,3.47,72.75,38.69,5.55,17.64,yes,no,no,no,no,2.1,120.4,0.002,0.1469,2
7,no,1,9.88,3.6,23.12,3.57,218.32,30.88,0.87,5.56,23.12,3.57,30.88,25.45,5.56,-1,no,no,yes,no,no,2.55,122.8,0.0033,0.3438,2
7,no,1,9.88,3.6,23.12,3.57,218.32,30.88,0.87,5.56,23.12,3.57,30.88,25.45,5.56,-1,no,no,yes,no,no,2.55,122.8,0.0032,0.3407,2
7,yes,1,9.88,3.6,23.12,3.57,218.32,30.88,0.87,5.56,23.12,3.57,30.88,25.45,5.56,-1,no,no,yes,no,no,2.55,122.8,0.0033,0.3416,2
7,no,1,13.88,4.66,25.55,3.42,273.45,23.05,0.8,5.52,25.55,3.42,23.05,34.29,5.52,-1,no,no,yes,no,no,2.55,122.8,0.0032,0.3357,1
7,no,1,9.94,3.84,23.28,3.21,206.42,64.03,0.04,5.69,23.28,3.21,64.03,25.21,5.69,-1,no,no,yes,yes,no,2.55,122.8,0.0032,0.3352,2
7,no,1,9.73,4.05,20.35,3.12,281.27,33.93,2,5.18,20.35,3.12,33.93,26.34,5.18,-1,no,no,yes,no,no,2.55,122.8,0.0033,0.342,2
7,no,1,9.73,4.05,20.35,3.12,281.27,33.93,2,5.18,20.35,3.12,33.93,26.34,5.18,-1,no,no,yes,no,no,2.55,122.8,0.0032,0.3393,2
7,no,1,9.73,4.05,20.35,3.12,281.27,33.93,2,5.18,20.35,3.12,33.93,26.34,5.18,-1,no,no,yes,no,no,2.55,122.8,0.0032,0.3384,2
