Base Features,ChemAxon,Feature Selection,BCR Weighted,Model,TP,FP,FN,TN,Accuracy,BCR,Matthews
legacy,False,Postive Variance,False,KNN,0.6130250036392036,0.13989401408426966,0.11719863493048269,0.12988234734604398,0.7429073509852476,0.6604738003589171,0.3302708396871878
legacy,False,Postive Variance,True,LogisticRegression,0.5191328529178093,0.11154204180997951,0.21109078565187706,0.15823431962033407,0.6773671725381434,0.6487309803081233,0.2735609728775011
legacy,False,Postive Variance,False,LogisticRegression,0.6522434988276691,0.18526375338536458,0.07798013974201727,0.08451260804494908,0.7367561068726182,0.6032398717883545,0.24842543725840094
legacy,False,Postive Variance,True,NaiveBayes,0.22860377161136078,0.06660737463414385,0.5016198669583255,0.20316898679616985,0.4317727584075306,0.5330807301868652,0.06437823768941689
legacy,False,Postive Variance,False,NaiveBayes,0.280637399394464,0.08116348165444762,0.44958623917522245,0.18861287977586602,0.46925027917033,0.541731186854943,0.07709171588434588
legacy,False,Postive Variance,True,RandomForest,0.6327545950783627,0.14940335876257635,0.09746904349132361,0.12037300266773727,0.7531275977461,0.6563585847644547,0.3362509577369322
legacy,False,Postive Variance,False,RandomForest,0.6697950525355846,0.17898972300112484,0.06042858603410194,0.09078663842918883,0.7605816909647733,0.6268860084978143,0.3143960434576557
legacy,False,Postive Variance,True,SVM_PUK,0.5935708228569345,0.12189078984662707,0.13665281571275187,0.14788557158368654,0.7414563944406211,0.6805200415350483,0.3551580880170939
legacy,False,Postive Variance,False,SVM_PUK,0.6632828420195563,0.17220871680475103,0.06694079655013013,0.09756764462556257,0.7608504866451189,0.6349947850870783,0.3232300660409771
new + legacy,False,CFS,True,J48,0.5843700731089567,0.11242629634173731,0.14968760523825342,0.15351602531105257,0.7378860984200093,0.686667520431204,0.3588702331963006
new + legacy,False,CFS,False,J48,0.6613045920338195,0.1522285118468271,0.0727530863133904,0.11371380980596277,0.7750184018397823,0.664238692038243,0.37262827709903
new + legacy,False,CFS,True,KNN,0.6109080090748266,0.13605052987285482,0.12314966927238362,0.1298917917799351,0.7407998008547616,0.6603276280370505,0.3258765369751517
new + legacy,False,CFS,False,KNN,0.6109080090748266,0.13605052987285482,0.12314966927238362,0.1298917917799351,0.7407998008547616,0.6603276280370505,0.3258765369751517
new + legacy,False,CFS,True,LogisticRegression,0.4438719113853607,0.11917264413899056,0.2901857669618495,0.14676967751379935,0.5906415888991601,0.5782839907616905,0.13946711405692308
new + legacy,False,CFS,False,LogisticRegression,0.7111990290736101,0.22816815893341408,0.022858649273600117,0.03777416271937586,0.7489731917929859,0.5554494013687485,0.20531190381067185
new + legacy,False,CFS,True,NaiveBayes,0.44931470562446685,0.16696060519352818,0.2847429727227432,0.09898171645926174,0.5482964220837285,0.4921448485354313,-0.014274014180713149
