@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R2,58,64,103,168,180,197,238,274'

@attribute time numeric
@attribute orgvanderwaalsArithAvg numeric
@attribute orgpolarsurfaceareaArithAvg numeric
@attribute oxlikehbdamsaccMax numeric
@attribute Na {yes,no}
@attribute S {yes,no}
@attribute P5 {yes,no}
@attribute IonizationMean numeric
@attribute outcome {1,2}

@data
24,229.03,33.22,-1,no,yes,no,795.95,2
24,229.03,33.22,-1,no,yes,no,795.95,2
24,229.03,33.22,-1,no,yes,no,795.95,2
24,229.03,33.22,-1,no,yes,no,795.95,2
24,275.81,8.88,-1,no,yes,no,795.95,2
24,275.81,8.88,-1,no,yes,no,795.95,2
24,258.23,33.22,-1,no,yes,no,795.95,2
24,258.23,33.22,-1,no,yes,no,795.95,2
24,275.81,8.88,-1,no,yes,no,795.95,2
24,275.81,8.88,-1,no,yes,no,795.95,2
24,211.8,8.88,-1,no,yes,no,795.95,2
24,211.8,8.88,-1,no,yes,no,795.95,2
20,281.27,25.78,-1,yes,no,no,614.85,2
20,294.5,27.03,-1,yes,no,no,650.9,2
20,206.42,44.25,-1,yes,no,no,650.9,1
20,340.09,8.88,-1,yes,no,no,650.9,2
20,281.27,25.78,-1,yes,no,no,650.9,1
20,340.09,8.88,-1,yes,no,no,650.9,2
20,258.23,33.22,-1,yes,no,no,650.9,1
24,273.23,27.03,-1,yes,no,no,795.95,1
24,281.27,25.78,-1,yes,no,no,795.95,2
24,281.27,25.78,-1,yes,no,no,795.95,1
24,281.27,25.78,-1,yes,no,no,795.95,1
24,281.27,25.78,-1,yes,no,no,795.95,2
24,281.27,25.78,-1,yes,no,no,795.95,2
20,340.09,8.88,-1,yes,no,no,650.9,2
20,352.79,7.68,-1,yes,no,no,650.9,2
20,340.09,8.88,-1,yes,no,no,795.95,2
20,281.27,25.78,-1,yes,no,no,795.95,2
20,206.42,44.25,-1,yes,no,no,795.95,2
20,298.21,25.78,-1,yes,no,no,795.95,2
20,269.22,48.69,-1,yes,no,no,795.95,1
20,211.8,8.88,-1,yes,no,no,795.95,2
20,295.52,33.22,-1,yes,no,no,795.95,2
24,281.27,25.78,-1,yes,no,no,795.95,2
24,245.47,28.64,-1,yes,no,no,795.95,2
24,245.47,28.64,-1,yes,no,no,795.95,2
24,245.47,28.64,-1,yes,no,no,795.95,2
26,340.09,8.88,-1,yes,no,no,795.95,2
26,281.27,25.78,-1,yes,no,no,795.95,2
26,206.42,44.25,-1,yes,no,no,795.95,2
26,258.23,33.22,-1,yes,no,no,795.95,2
26,295.52,33.22,-1,yes,no,no,795.95,2
26,281.27,25.78,-1,yes,no,no,795.95,2
26,294.5,27.03,-1,yes,no,no,795.95,2
26,258.23,33.22,-1,yes,no,no,795.95,2
26,295.52,33.22,-1,yes,no,no,795.95,2
20,210.31,33.22,-1,yes,no,no,795.95,1
20,258.23,33.22,-1,yes,no,no,795.95,1
20,275.81,8.88,-1,yes,no,no,795.95,2
20,310.74,27.03,-1,yes,no,no,795.95,2
20,294.5,27.03,-1,yes,no,no,795.95,2
20,206.42,44.25,-1,yes,no,no,795.95,2
20,319.98,27.03,-1,yes,no,no,795.95,1
20,200.55,16.56,-1,yes,no,no,795.95,1
20,282.76,71.89,-1,yes,no,no,795.95,2
20,353.93,88.5,-1,yes,no,no,795.95,1
20,405.37,62.96,-1,yes,no,no,795.95,2
20,238.74,21.05,-1,yes,no,no,795.95,2
20,273.23,27.03,-1,yes,no,no,795.95,2
60,253.52,19.85,-1,yes,no,yes,760.1,2
60,289.27,7.68,-1,yes,no,yes,760.1,2
60,333.62,55.28,-1,yes,no,yes,760.1,2
60,352.79,7.68,-1,yes,no,yes,760.1,2
60,273.45,28.64,-1,yes,no,yes,760.1,2
60,237.57,55.28,-1,yes,no,yes,760.1,2
60,268.43,55.28,-1,yes,no,yes,760.1,2
60,268.43,55.28,-1,yes,no,yes,760.1,2
60,301.3,55.28,-1,yes,no,yes,760.1,2
60,301.3,55.28,-1,yes,no,yes,760.1,2
60,365.55,55.28,-1,yes,no,yes,760.1,2
60,365.55,55.28,-1,yes,no,yes,760.1,2
60,397.7,55.28,-1,yes,no,yes,760.1,2
60,397.7,55.28,-1,yes,no,yes,760.1,2
