@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R3-5,7-8,13,17,43,74,85,168,170-172,174,179-180,188,228,232,250,256,269,274'

@attribute slowCool {yes,no}
@attribute pH numeric
@attribute leak {yes,no}
@attribute numberOrg numeric
@attribute numberOxlike numeric
@attribute orgmaximalprojectionradiusMax numeric
@attribute orgminimalprojectionsizeMax numeric
@attribute orgASA_HMin numeric
@attribute orgminimalprojectionsizeGeomAvg numeric
@attribute orghbdamsdonGeomAvg numeric
@attribute Na {yes,no}
@attribute Te {yes,no}
@attribute Br {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute P {yes,no}
@attribute S {yes,no}
@attribute Cr {yes,no}
@attribute PaulingElectronegMax numeric
@attribute IonizationMin numeric
@attribute IonizationMaxWeighted numeric
@attribute IonizationMinWeighted numeric
@attribute EAGeomWeighted numeric
@attribute outcome {1,2,3,4}

@data
yes,2,no,1,0,4.66,9.43,225.86,9.43,4,no,no,no,no,no,no,no,no,2.55,650.9,5.6294,0.6878,0.2498,3
yes,3,no,1,0,4.69,9.35,261.95,9.35,1.93,yes,no,no,no,no,no,no,no,2.55,650.9,5.944,0.6678,0.2529,4
yes,2,no,1,0,4.69,9.35,261.95,9.35,1.99,yes,no,no,no,no,no,no,no,2.55,650.9,4.928,0.6684,0.2303,2
yes,2,yes,1,0,4.69,9.35,261.95,9.35,1.99,yes,no,no,no,no,no,no,no,2.55,650.9,5.5107,0.6411,0.2386,1
yes,3,yes,1,0,4.69,9.35,261.95,9.35,1.93,yes,no,no,no,no,no,no,no,2.55,650.9,5.7922,0.6518,0.2466,1
yes,3,yes,1,0,4.69,9.35,261.95,9.35,1.93,yes,no,no,no,no,no,no,no,2.55,650.9,5.3885,0.6774,0.2425,1
yes,2,yes,1,0,4.69,9.35,261.95,9.35,1.99,yes,no,no,no,no,no,no,no,2.55,650.9,5.369,0.6636,0.2396,1
yes,2,no,1,1,4.12,7.94,210.85,7.94,3,yes,no,no,no,no,no,no,no,2.55,650.9,3.8646,0.6599,0.2027,4
yes,2,no,1,1,4.12,7.94,210.85,7.94,3,yes,no,no,no,no,no,no,no,2.55,650.9,3.7874,0.661,0.2008,4
yes,1,no,1,1,4.12,7.94,210.85,7.94,3,yes,no,no,no,no,no,no,no,2.55,650.9,3.9316,0.7089,0.2119,4
yes,1,no,1,1,4.12,7.94,210.85,7.94,3,yes,no,no,no,no,no,no,no,2.55,650.9,2.941,0.6571,0.1764,4
yes,3,no,1,1,4.12,7.94,210.85,7.94,3,yes,no,no,no,no,no,no,no,2.55,650.9,3.812,0.651,0.1999,4
yes,4,no,1,1,4.12,7.94,210.85,7.94,2.99,yes,no,no,no,no,no,no,no,2.55,650.9,2.897,0.7389,0.1857,4
?,5,no,1,0,4.05,7.98,247.34,7.98,0,yes,no,no,no,no,no,no,no,2.55,650.9,3.4134,0.7975,0.2094,4
?,5,no,1,0,4.05,7.98,247.34,7.98,0,yes,no,no,no,no,no,no,no,2.55,650.9,1.4366,0.773,0.1338,4
?,5,no,1,0,4.77,9.5,267.23,9.5,0.01,yes,no,no,no,no,no,no,no,2.55,650.9,3.4745,0.7719,0.2079,4
?,5,no,1,0,4.77,9.5,267.23,9.5,0.01,yes,no,no,no,no,no,no,no,2.55,650.9,1.222,0.7789,0.1238,3
?,5,no,1,0,3.84,7.39,142.39,7.39,5,yes,no,no,no,no,no,no,no,2.55,650.9,3.3931,0.7895,0.2077,4
?,5,no,1,0,3.84,7.39,142.39,7.39,5,yes,no,no,no,no,no,no,no,2.55,650.9,1.217,0.7693,0.1228,4
?,5,no,1,0,5.19,10.13,323.49,10.13,1.96,yes,no,no,no,no,no,no,no,2.55,650.9,3.4863,0.7863,0.2102,4
?,5,no,1,0,5.19,10.13,323.49,10.13,1.96,yes,no,no,no,no,no,no,no,2.55,650.9,1.3594,0.7842,0.131,3
?,5,no,1,0,4.66,9.43,225.86,9.43,3.96,yes,no,no,no,no,no,no,no,2.55,650.9,3.5067,0.7853,0.2106,2
?,5,no,1,0,4.66,9.43,225.86,9.43,3.96,yes,no,no,no,no,no,no,no,2.55,650.9,1.3069,0.7922,0.1291,2
?,5,no,1,0,3.66,6.94,239.3,6.94,0,yes,no,no,no,no,no,no,no,2.55,650.9,3.3608,0.7863,0.2063,2
?,5,no,1,0,3.66,6.94,239.3,6.94,0,yes,no,no,no,no,no,no,no,2.55,650.9,1.4137,0.7837,0.1336,2
?,6,no,1,0,4.05,7.98,247.34,7.98,0,yes,no,no,no,no,no,no,no,2.55,650.9,2.8305,0.7773,0.1883,4
?,5,no,1,0,4.05,7.98,247.34,7.98,0,yes,no,no,no,no,no,no,no,2.55,650.9,0.9348,0.7757,0.1081,4
?,5,no,1,0,4.77,9.5,267.23,9.5,0.01,yes,no,no,no,no,no,no,no,2.55,650.9,2.8838,0.7847,0.1909,4
?,5,no,1,0,4.77,9.5,267.23,9.5,0.01,yes,no,no,no,no,no,no,no,2.55,650.9,1.2749,0.7895,0.1273,3
?,5,no,1,0,3.84,7.39,142.39,7.39,5,yes,no,no,no,no,no,no,no,2.55,650.9,2.8028,0.781,0.1878,4
?,5,no,1,0,3.84,7.39,142.39,7.39,5,yes,no,no,no,no,no,no,no,2.55,650.9,0.8983,0.7805,0.1063,4
?,5,no,1,0,5.19,10.13,323.49,10.13,1.96,yes,no,no,no,no,no,no,no,2.55,650.9,2.8642,0.7901,0.1909,4
?,5,no,1,0,5.19,10.13,323.49,10.13,1.96,yes,no,no,no,no,no,no,no,2.55,650.9,1.0904,0.7949,0.1182,4
?,3,no,1,0,4.69,9.35,261.95,9.35,1.93,yes,no,no,no,no,no,no,no,2.55,650.9,5.8796,0.678,0.2534,4
yes,3,no,1,0,4.69,9.35,261.95,9.35,1.93,yes,no,no,no,no,no,no,no,2.55,650.9,5.9245,0.6796,0.2547,4
yes,2,no,1,0,5.19,10.13,323.49,10.13,2,no,no,no,no,no,no,no,no,2.55,650.9,4.722,0.666,0.2251,3
yes,2,no,1,0,5.19,10.13,323.49,10.13,2,no,no,no,no,no,no,no,no,2.55,650.9,5.598,0.6477,0.2417,3
yes,2,no,1,0,5.19,10.13,323.49,10.13,2,no,no,no,no,no,no,no,no,2.55,650.9,6.7022,0.6288,0.2606,3
yes,2,no,1,0,5.19,10.13,323.49,10.13,2,no,no,no,no,no,no,no,no,2.55,650.9,7.468,0.6538,0.2805,3
yes,1,no,1,0,5.19,10.13,323.49,10.13,2,no,no,no,no,no,no,no,no,2.55,650.9,8.4933,0.6432,0.2967,4
yes,2,no,1,0,5.74,11.24,170.62,11.24,8,no,no,no,no,no,no,no,no,2.55,650.9,4.8136,0.6621,0.2266,3
yes,2,no,1,0,5.74,11.24,170.62,11.24,8,no,no,no,no,no,no,no,no,2.55,650.9,5.615,0.6683,0.2459,3
yes,2,no,1,0,5.74,11.24,170.62,11.24,8,no,no,no,no,no,no,no,no,2.55,650.9,6.5665,0.641,0.2604,3
yes,2,no,1,0,5.74,11.24,170.62,11.24,8,no,no,no,no,no,no,no,no,2.55,650.9,7.5595,0.6354,0.2782,4
yes,1,no,1,0,5.74,11.24,170.62,11.24,8,no,no,no,no,no,no,no,no,2.55,650.9,8.4246,0.6393,0.2946,4
yes,1,no,1,0,3.89,7.67,142.43,7.67,5,yes,no,no,no,no,no,no,no,2.55,650.9,5.8829,0.6502,0.2482,4
yes,1,no,1,0,3.74,7.31,139.65,7.31,5,yes,no,no,no,no,no,no,no,2.55,650.9,5.9771,0.6481,0.2498,3
yes,1,no,1,0,3.84,7.39,142.39,7.39,5,yes,no,no,no,no,no,no,no,2.55,650.9,5.6904,0.655,0.245,4
yes,1,no,1,0,3.84,7.39,142.39,7.39,5,yes,no,no,no,no,no,no,no,2.55,650.9,5.9873,0.6433,0.2491,4
yes,2,no,1,1,4.18,8.34,192.04,8.34,4,yes,no,no,no,no,no,no,no,2.55,650.9,5.8363,0.6433,0.2459,4
yes,2,no,1,1,4.18,8.34,192.04,8.34,4,yes,no,no,no,no,no,no,no,2.55,650.9,5.7201,0.6353,0.2419,4
yes,1,no,1,1,3.74,7.31,139.65,7.31,5,yes,no,no,no,no,no,no,no,2.55,650.9,5.6268,0.67,0.2464,4
yes,1,no,1,1,3.89,7.67,142.43,7.67,5,yes,no,no,no,no,no,no,no,2.55,650.9,5.6251,0.6577,0.2441,4
yes,2,no,1,1,5.06,10.12,250.99,10.12,4,yes,no,no,no,no,no,no,no,2.55,650.9,5.6752,0.7036,0.2536,4
yes,2,no,1,1,6.48,13.1,225.18,13.1,10,yes,no,no,no,no,no,no,no,2.55,650.9,5.5878,0.6956,0.2502,4
yes,2,no,1,1,5.4,10.83,188.78,10.83,9.98,yes,no,no,no,no,no,no,no,2.55,650.9,5.6082,0.6406,0.2406,4
yes,2,no,1,1,7.85,15.66,300.79,15.66,7.85,yes,no,no,no,no,no,no,no,2.55,650.9,5.6692,0.6353,0.2409,3
?,6,no,1,0,3.6,6.77,187.44,6.77,3.6,no,no,no,no,no,no,yes,no,2.55,650.9,4.7533,1.3026,0.3158,4
?,6,no,1,0,4.05,7.98,247.34,7.98,0,no,no,no,no,no,no,yes,no,2.55,650.9,4.8814,1.2754,0.3167,4
?,6,no,1,0,4.66,9.43,250.4,9.43,3.72,no,no,no,no,no,no,yes,no,2.55,650.9,4.9798,1.533,0.3507,4
?,5,no,1,0,4.69,9.35,277,9.35,1.11,no,no,no,no,no,no,yes,no,2.55,650.9,5.0357,1.2814,0.3224,4
?,6,no,1,0,4.12,7.94,226.27,7.94,2.57,no,no,no,no,no,no,yes,no,2.55,650.9,4.6974,1.2762,0.3108,1
?,4,no,1,0,3.56,6.58,194.04,6.58,1.99,no,no,no,no,no,no,yes,no,2.55,650.9,4.683,1.3325,0.3171,4
?,6,no,1,0,5.19,10.13,338.1,10.13,1.68,no,no,no,no,no,no,yes,no,2.55,650.9,4.8755,1.2934,0.3187,1
?,7,no,1,0,5.74,11.24,194.98,11.24,7.19,no,no,no,no,no,no,yes,no,2.55,650.9,4.733,1.279,0.3123,3
?,6,no,1,0,3.6,6.77,187.44,6.77,3.6,no,no,no,no,no,no,yes,no,2.55,650.9,4.6982,1.3357,0.318,4
?,6,no,1,0,4.05,7.98,247.34,7.98,0,no,no,no,no,no,no,yes,no,2.55,650.9,4.7355,1.3046,0.3155,4
?,6,no,1,0,4.66,9.43,250.4,9.43,3.72,no,no,no,no,no,no,yes,no,2.55,650.9,4.7584,1.3125,0.3172,4
?,5,no,1,0,4.69,9.35,277,9.35,1.11,no,no,no,no,no,no,yes,no,2.55,650.9,4.8271,1.2578,0.3128,4
?,6,no,1,0,4.12,7.94,226.27,7.94,2.57,no,no,no,no,no,no,yes,no,2.55,650.9,4.7152,1.2838,0.3123,4
?,5,no,1,0,3.56,6.58,194.04,6.58,1.95,no,no,no,no,no,no,yes,no,2.55,650.9,4.7728,1.3401,0.321,4
?,6,no,1,0,5.19,10.13,338.1,10.13,1.68,no,no,no,no,no,no,yes,no,2.55,650.9,4.7211,1.3026,0.3147,3
?,7,no,1,0,5.74,11.24,194.98,11.24,7.19,no,no,no,no,no,no,yes,no,2.55,650.9,4.733,1.3022,0.3151,2
yes,7,no,1,1,3.84,7.39,142.39,7.39,4.96,yes,yes,no,no,no,no,no,no,2.1,650.9,1.3691,0.7767,0.1345,2
yes,7,no,1,1,4.05,7.98,247.34,7.98,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0552,0.7789,0.1182,3
yes,7,no,1,1,4.77,9.5,267.23,9.5,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0278,0.75,0.1145,3
yes,7,no,1,1,4.66,9.43,250.4,9.43,3.2,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0854,0.7746,0.1196,3
yes,7,no,1,1,3.6,6.77,187.44,6.77,3.13,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0737,0.765,0.1182,3
yes,7,no,1,1,3.76,7.43,173.72,7.43,3.96,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0219,0.8007,0.118,4
yes,7,no,1,1,4.38,8.74,296.17,8.74,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0301,0.7612,0.1155,3
yes,7,no,1,1,3.56,6.58,205.33,6.58,1.15,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0274,0.7805,0.1168,3
yes,7,no,1,1,6.48,13.1,248.1,13.1,8.87,yes,yes,no,no,no,no,no,no,2.1,650.9,1.025,0.7757,0.1163,3
yes,7,no,1,1,3.66,6.94,239.3,6.94,0,yes,yes,no,no,no,no,no,no,2.1,650.9,1.036,0.7564,0.1155,3
yes,7,no,1,1,4.58,9.05,141.19,9.05,6,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0654,0.7885,0.1195,3
yes,7,no,1,1,5.81,11.37,204.98,11.37,6,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0549,0.7874,0.1189,3
yes,7,no,1,1,6.31,12.27,237.23,12.27,6,yes,yes,no,no,no,no,no,no,2.1,650.9,1.4201,0.7591,0.1354,3
yes,7,no,1,1,4.12,7.94,226.27,7.94,2.12,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0356,0.7853,0.1176,3
yes,7,no,1,1,4.69,9.35,277,9.35,1,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0258,0.7767,0.1164,3
yes,7,no,1,1,5.19,10.13,338.1,10.13,1.18,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0274,0.7554,0.1149,3
yes,7,no,1,1,5.74,11.24,194.98,11.24,7.19,yes,yes,no,no,no,no,no,no,2.1,650.9,1.036,0.7671,0.1163,3
yes,7,no,1,1,5.06,10.12,250.99,10.12,3.89,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0109,0.7863,0.1163,3
yes,7,no,1,1,5.4,10.83,203.2,10.83,9,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0329,0.7687,0.1162,4
yes,7,no,1,1,5.4,10.58,211.78,10.58,5,yes,yes,no,no,no,no,no,no,2.1,650.9,1.0384,0.7853,0.1178,4
yes,7,no,1,0,3.6,6.77,187.44,6.77,3.13,no,no,no,no,no,no,yes,no,2.55,650.9,5.0748,1.3086,0.3271,4
yes,7,no,1,0,3.6,6.77,187.44,6.77,3.13,no,no,no,no,no,no,yes,no,2.55,650.9,4.8203,1.297,0.3174,4
yes,7,no,1,0,3.6,6.77,187.44,6.77,3.13,no,no,no,no,no,no,yes,no,2.55,650.9,4.7711,1.2814,0.3138,4
yes,7,yes,1,0,3.6,6.77,187.44,6.77,3.13,no,no,no,no,no,no,yes,no,2.55,650.9,4.7627,1.3002,0.3158,4
yes,7,no,1,0,4.66,9.43,250.4,9.43,3.2,no,no,no,no,no,no,yes,no,2.55,650.9,4.7754,1.2778,0.3135,2
yes,7,no,1,0,4.66,9.43,250.4,9.43,3.2,no,no,no,no,no,no,yes,no,2.55,650.9,4.7279,1.3185,0.3169,3
yes,7,no,1,0,3.84,7.39,142.39,7.39,4.96,no,no,no,no,no,no,yes,no,2.55,650.9,4.9187,1.2758,0.318,3
yes,7,no,1,0,3.84,7.39,142.39,7.39,4.96,no,no,no,no,no,no,yes,no,2.55,650.9,4.6473,1.291,0.3109,3
yes,7,no,1,0,4.05,7.98,247.34,7.98,0,no,no,no,no,no,no,yes,no,2.55,650.9,4.6312,1.3018,0.3116,4
yes,7,no,1,0,4.05,7.98,247.34,7.98,0,no,no,no,no,no,no,yes,no,2.55,650.9,4.755,1.2914,0.3145,4
yes,7,no,1,0,4.05,7.98,247.34,7.98,0,no,no,no,no,no,no,yes,no,2.55,650.9,4.6558,1.2822,0.3101,4
yes,7,no,1,0,4.05,7.98,247.34,7.98,0,no,no,no,no,no,no,yes,no,2.55,650.9,5.1163,1.2882,0.3258,3
yes,1,no,1,0,4.16,7.66,172.28,7.66,4,yes,no,no,no,no,no,no,no,2.55,650.9,5.6184,0.7378,0.2584,4
