@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1-3,5,9,14,24,33,39,94-95,101,170-172,174,178-180,183,185,224,256,259-260,274'

@attribute Temp_max numeric
@attribute time numeric
@attribute slowCool {yes,no}
@attribute leak {yes,no}
@attribute numberComponents numeric
@attribute orgmaximalprojectionsizeMax numeric
@attribute orgASA_HMax numeric
@attribute orgmaximalprojectionsizeMin numeric
@attribute orgvanderwaalsMin numeric
@attribute oxlikeavgpol_pHdependentMax numeric
@attribute oxlikemolpolMax numeric
@attribute oxlikeASA_PMax numeric
@attribute Te {yes,no}
@attribute Br {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute N {yes,no}
@attribute P {yes,no}
@attribute S {yes,no}
@attribute Zn {yes,no}
@attribute Cl {yes,no}
@attribute V6 {yes,no}
@attribute IonizationMinWeighted numeric
@attribute PearsonElectronegMinWeighted numeric
@attribute hardnessMinWeighted numeric
@attribute outcome {1,2,3,4}

@data
110,312,?,no,3,5.4,194.98,5.4,299.78,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.3022,0.7016,0.6004,2
90,60,yes,no,4,5.69,142.39,5.69,206.42,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,yes,yes,0.7767,0.4185,0.3581,2
90,60,yes,no,4,5.18,247.34,5.18,281.27,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7789,0.4196,0.3591,3
90,60,yes,no,4,4.08,267.23,4.08,298.21,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.75,0.4041,0.3458,3
90,60,yes,no,4,5.52,250.4,5.52,273.45,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7746,0.4173,0.3571,3
90,60,yes,no,4,5.56,187.44,5.56,218.32,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.765,0.4122,0.3527,3
90,60,yes,no,4,5.69,173.72,5.69,210.31,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.8007,0.4314,0.3692,4
90,60,yes,no,4,4.65,296.17,4.65,324.05,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7612,0.4102,0.351,3
90,60,yes,no,4,6.62,205.33,6.62,219.31,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7805,0.4205,0.3598,3
90,60,yes,no,4,5.93,248.1,5.93,368.01,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7757,0.4179,0.3576,3
90,60,yes,no,4,5.71,239.3,5.71,239.3,5.46,5.63,209.93,yes,no,no,no,no,no,no,no,yes,yes,0.7564,0.4076,0.3488,3
90,60,yes,no,4,5.17,141.19,5.17,237.57,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7885,0.4248,0.3635,3
90,60,yes,no,4,5.47,204.98,5.47,301.3,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7874,0.4242,0.363,3
90,60,yes,no,4,6.57,237.23,6.57,333.62,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7591,0.409,0.35,3
90,60,yes,no,4,5.92,226.27,5.92,253.52,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7853,0.4231,0.3621,3
90,60,yes,no,4,5.25,277,5.25,289.27,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7767,0.4185,0.3581,3
90,60,yes,no,4,5.88,338.1,5.88,352.79,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7554,0.407,0.3483,3
90,60,yes,no,4,5.4,194.98,5.4,299.78,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7671,0.4133,0.3537,3
90,60,yes,no,4,4.91,250.99,4.91,295.52,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7863,0.4237,0.3625,3
90,60,yes,no,4,5.73,203.2,5.73,346.48,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7687,0.4142,0.3544,4
90,60,yes,no,4,5.55,211.78,5.55,284.53,5.46,5.63,209.93,yes,no,no,no,yes,no,no,no,no,yes,0.7853,0.4231,0.3621,4
110,24,yes,no,3,5.56,187.44,5.56,218.32,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.3086,0.705,0.6033,4
