@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1-3,5,18,26,63,83,99-100,103,170,172,174,180,182,234,255,261,274'

@attribute Temp_max numeric
@attribute time numeric
@attribute slowCool {yes,no}
@attribute leak {yes,no}
@attribute orgavgpol_pHdependentMax numeric
@attribute orgpolarsurfaceareaMax numeric
@attribute orgASA_PArithAvg numeric
@attribute orgpolarsurfaceareaGeomAvg numeric
@attribute oxlikeASA-Max numeric
@attribute oxlikeASA_HMax numeric
@attribute oxlikehbdamsaccMax numeric
@attribute Te {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute S {yes,no}
@attribute Se {yes,no}
@attribute PaulingElectronegMin numeric
@attribute AtomicRadiusMaxWeighted numeric
@attribute AtomicRadiusMinWeighted numeric
@attribute outcome {1,2}

@data
110,24,yes,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,1.2972,0.1769,2
75,48,yes,no,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6144,0.1754,2
75,48,yes,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6317,0.1689,2
75,48,yes,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,no,yes,1.63,1.217,0.1713,2
75,48,yes,no,14.51,33.22,32.37,33.22,-1,-1,-1,no,no,no,no,yes,1.63,0.6267,0.1683,2
75,48,yes,no,14.51,33.22,32.37,33.22,-1,-1,-1,no,no,no,no,yes,1.63,1.2533,0.1655,2
110,24,yes,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.8208,0.1736,2
110,24,yes,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.8225,0.1783,2
110,24,yes,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.8688,0.1705,2
110,24,yes,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.819,0.1831,2
110,24,yes,no,10.08,27.03,59.99,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,1.2776,0.1745,2
110,24,yes,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,1.2862,0.1706,2
110,24,yes,no,13.36,8.88,17.76,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6312,0.1875,1
110,24,yes,no,13.36,8.88,17.76,8.88,-1,-1,-1,no,no,no,no,yes,1.63,1.224,0.1779,2
110,24,yes,no,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,1.2295,0.1768,2
110,24,yes,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6303,0.1674,2
110,24,yes,no,14.51,33.22,32.37,33.22,-1,-1,-1,no,no,no,no,yes,1.63,0.6153,0.1848,2
110,24,yes,no,13.33,25.78,30.99,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.3188,0.1664,2
110,24,yes,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,0.3403,0.1703,2
110,24,yes,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,0.627,0.3407,2
110,24,yes,no,13.33,25.78,30.99,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.6084,0.3486,2
110,24,yes,no,13.33,25.78,30.99,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.623,0.3524,2
110,24,yes,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,0.6295,0.3373,2
110,24,yes,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,0.6735,0.3433,2
110,24,yes,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,0.6374,0.3507,2
110,24,yes,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,0.6205,0.5078,2
110,24,yes,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,0.6417,0.5046,2
110,24,yes,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,yes,yes,1.63,1.2617,0.1779,2
110,24,yes,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,yes,yes,1.63,1.2567,0.1695,1
110,24,yes,no,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,yes,yes,1.63,1.218,0.172,2
110,24,yes,no,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,yes,yes,1.63,1.2338,0.1721,1
110,24,yes,no,12.43,33.22,36.59,33.22,-1,-1,-1,no,no,no,yes,yes,1.63,1.2353,0.1682,1
110,24,yes,no,12.43,33.22,36.59,33.22,-1,-1,-1,no,no,no,yes,yes,1.63,1.6839,0.1766,1
110,24,yes,no,10.57,33.22,41.81,33.22,-1,-1,-1,no,no,no,yes,yes,1.63,1.2356,0.1748,1
110,24,yes,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,yes,yes,1.63,1.2534,0.1768,1
110,24,yes,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,yes,yes,1.63,1.239,0.1775,1
110,24,yes,no,13.52,71.89,112.14,71.89,-1,-1,-1,no,no,no,yes,yes,1.63,1.224,0.1725,2
120,24,yes,no,14.28,7.68,12.27,7.68,-1,-1,-1,no,no,no,no,yes,1.63,0.3068,0.1813,2
