@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R18,48,60,162-163,171,233,250,255,262,273-274'

@attribute orgavgpol_pHdependentMax numeric
@attribute orgavgpolArithAvg numeric
@attribute orgASA+ArithAvg numeric
@attribute inorg-water-moleratio numeric
@attribute org-water-moleratio numeric
@attribute Br {yes,no}
@attribute EAMin numeric
@attribute IonizationMaxWeighted numeric
@attribute AtomicRadiusMaxWeighted numeric
@attribute IonizationMeanWeighted numeric
@attribute AtomicRadiusGeomWeighted numeric
@attribute outcome {1,2,3,4}

@data
10.27,9.88,205.41,0.0414,0.0123,no,50.6,4.7237,0.517,3.0263,0.4249,4
12.17,11.87,287.07,0.0413,0.0111,no,50.6,4.7449,0.5194,3.0321,0.4243,1
11.87,11.87,236.4,0.0376,0.0109,no,50.6,4.6617,0.5103,3.0011,0.4239,3
19.47,18.04,337.12,0.0394,0.0122,no,50.6,4.683,0.5126,3.0041,0.4225,3
18.99,18.04,330.78,0.0426,0.0122,no,50.6,4.7754,0.5227,3.0793,0.4358,3
12.54,11.97,220.5,0.0274,0.0032,no,50.6,7.2814,0.797,3.9701,0.3714,3
12.54,11.97,220.5,0.0119,0.0031,no,50.6,2.7146,0.2971,1.6917,0.2285,3
12.54,11.97,220.5,0.0247,0.0062,no,50.6,5.7498,0.6294,3.5178,0.4611,3
16.3,15.28,261.51,0.0117,0.003,no,50.6,2.7706,0.3033,1.7151,0.2293,3
16.3,15.28,261.51,0.022,0.0029,no,50.6,5.8058,0.6355,3.2375,0.3343,3
16.3,15.28,261.51,0.0197,0.0057,no,50.6,4.7313,0.5179,3.0075,0.4179,3
13.69,13.33,268.62,0.0109,0.0041,no,50.6,3.0615,0.3351,1.8688,0.244,4
13.33,13.33,211.47,0.0206,0.0046,no,50.6,5.7498,0.6294,3.1962,0.3259,4
13.69,13.33,268.62,0.0217,0.0093,no,50.6,4.8517,0.5311,3.0616,0.4212,4
12.43,11.75,193.85,0.0121,0.0035,no,50.6,2.9029,0.3177,1.7803,0.2343,3
12.43,11.75,193.85,0.0193,0.0032,no,50.6,5.6082,0.6139,3.1415,0.3299,4
12.43,11.75,193.85,0.0209,0.006,no,50.6,4.7254,0.5172,3.0323,0.4266,3
9.73,9.73,216.3,0.0117,0.0038,no,50.6,2.7647,0.3026,1.7052,0.2266,3
9.73,9.73,216.3,0.0209,0.0047,no,50.6,5.5573,0.6083,3.1039,0.3224,4
10.63,9.94,188.71,0.0123,0.0032,no,50.6,2.9012,0.3176,1.7864,0.2367,4
10.63,9.94,188.71,0.0216,0.0031,no,50.6,5.715,0.6256,3.1943,0.3327,4
10.08,9.73,244.65,0.021,0.1914,no,50.6,5.6379,0.6171,3.146,0.3256,4
10.08,9.73,244.65,0.0296,0.1912,no,50.6,8.3415,0.913,4.5062,0.4011,4
10.08,9.73,244.65,0.0373,0.1914,no,50.6,11.1646,1.2221,5.8151,0.3866,1
10.63,9.94,188.71,0.0206,0.1133,no,50.6,5.6141,0.6145,3.1307,0.3233,4
10.63,9.94,188.71,0.0294,0.1133,no,50.6,8.3983,0.9193,4.5256,0.3971,1
10.63,9.94,188.71,0.038,0.1133,no,50.6,11.2494,1.2313,5.951,0.4594,1
14.51,13.88,222.38,0.0214,0.0032,no,50.6,5.7439,0.6287,3.207,0.3327,4
14.51,13.88,222.38,0.0301,0.0037,no,50.6,8.4704,0.9271,4.5614,0.3987,4
14.51,13.88,222.38,0.0372,0.0031,no,50.6,11.4564,1.254,6.0576,0.4659,4
13.69,13.33,268.62,0.0119,0.0051,no,50.6,2.8189,0.3086,1.7421,0.2322,4
13.69,13.33,268.62,0.0091,0.0046,no,50.6,1.9565,0.2142,1.3027,0.1911,4
13.69,13.33,268.62,0.0063,0.0046,no,50.6,1.0126,0.1725,0.8345,0.1383,4
26.09,24.87,351.09,0.0209,0.0121,no,50.6,4.6957,0.514,3.0396,0.4322,2
11.87,11.87,236.4,0.0201,0.0086,no,50.6,4.6058,0.5041,2.9372,0.4099,3
9.73,9.73,216.3,0.0208,0.0033,no,50.6,5.771,0.6317,3.1917,0.3188,4
13.69,13.33,268.62,0.0209,0.0045,no,50.6,5.5581,0.6084,3.1488,0.3438,4
10.63,9.94,188.71,0.0211,0.003,no,50.6,5.6234,0.6155,3.1438,0.3277,4
15.43,14.87,267.29,0.021,0.0031,no,50.6,5.687,0.6225,3.1598,0.3216,3
14.51,13.88,222.38,0.0207,0.003,no,50.6,5.6319,0.6165,3.1565,0.3321,2
7.76,7.08,189.33,0.0205,0.003,no,50.6,5.6022,0.6132,3.1262,0.3236,4
14.28,14.02,244.99,0.0618,0.005,no,50.6,11.0205,1.2063,5.8393,0.4567,4
14.28,14.02,244.99,0.0793,0.006,no,50.6,11.6404,1.2741,6.1742,0.4868,2
14.51,13.88,222.38,0.0583,0.0045,no,50.6,11.28,1.2347,5.9844,0.4727,4
14.23,13.88,228.83,0.0826,0.0062,no,50.6,12.1738,1.3325,6.4195,0.4826,3
13.33,13.33,211.47,0.0565,0.0067,no,50.6,11.3724,1.2448,6.0204,0.4675,3
13.33,13.33,211.47,0.0757,0.0092,no,50.6,11.2291,1.2291,5.9378,0.4569,3
9.73,9.73,216.3,0.0575,0.0046,no,50.6,11.8515,1.2972,6.2624,0.479,4
9.73,9.73,216.3,0.0739,0.0062,no,50.6,11.4258,1.2506,6.0447,0.467,3
13.36,12.65,211.8,0.0178,0.003,no,50.6,5.7396,0.6282,3.1901,0.3252,3
13.36,12.65,211.8,0.0352,0.003,no,50.6,11.2918,1.236,5.9673,0.4568,3
14.53,14.02,239.3,0.0192,0.0032,no,50.6,5.6133,0.6144,3.1405,0.3283,4
15.43,14.87,267.29,0.0191,0.0029,no,50.6,5.771,0.6317,3.2069,0.3266,3
15.43,14.87,267.29,0.0364,0.003,no,50.6,11.1188,1.217,5.8854,0.4566,3
14.51,13.88,222.38,0.0192,0.0029,no,50.6,5.7252,0.6267,3.1829,0.3248,3
14.51,13.88,222.38,0.0376,0.0032,no,50.6,11.4504,1.2533,6.0401,0.4554,3
9.73,9.73,216.3,0.0292,0.0035,no,50.6,7.4985,0.8208,4.0797,0.3775,4
